operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                326.649            0.000       326.649         326.649    
OperationDoGC                                    2073.479          180.680      1533.891        2213.331    
OperationGetManyVertices                            0.267            0.072         0.163           0.520    
OperationGetManyEdges                               0.355            0.098         0.253           1.012    
OperationGetFirstNeighbor-out                       0.367            0.073         0.209           0.577    
OperationGetAllNeighbors-out                        0.392            0.104         0.187           0.658    
OperationGetNeighborEdgeConditional-out            17.551            9.781         0.280          64.749    
OperationGetFirstNeighbor-in                        0.302            0.062         0.170           0.663    
OperationGetAllNeighbors-in                         0.307            0.081         0.170           0.605    
OperationGetNeighborEdgeConditional-in             52.121           24.379        12.311         132.630    
OperationGetFirstNeighbor-both                      0.272            0.073         0.155           0.814    
OperationGetAllNeighbors-both                       0.303            0.090         0.149           0.755    
OperationGetNeighborEdgeConditional-both           66.972           19.504        22.695         153.009    
OperationGetManyVertexProperties-name             370.782          147.232       124.283         645.111    
OperationGetManyVertexProperties-age               56.136           40.402         0.827         165.130    
OperationGetManyEdgeProperties-time               612.655           39.449       538.651         724.031    
OperationGetManyVertexPropertySets                  9.932            9.562         0.613          41.503    
OperationGetManyEdgePropertySets                  432.935          105.621       260.191         723.171    
OperationShutdownGraph                           2384.517            0.000      2384.517        2384.517    
