operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                271.526            0.000       271.526         271.526    
OperationDoGC                                                    1500.162            4.619      1489.909        1523.981    
OperationGetManyVertices                                            0.039            0.000         0.039           0.039    
OperationGetManyEdges                                               0.076            0.000         0.076           0.076    
OperationGetFirstNeighbor-out                                       0.218            0.073         0.028           0.328    
OperationGetAllNeighbors-out                                        0.231            0.096         0.034           0.360    
OperationGetNeighborEdgeConditional-out                             0.524            0.244         0.075           1.091    
OperationGetFirstNeighbor-in                                        0.196            0.117         0.029           0.393    
OperationGetAllNeighbors-in                                         0.174            0.118         0.030           0.433    
OperationGetNeighborEdgeConditional-in                              0.448            0.219         0.029           0.964    
OperationGetFirstNeighbor-both                                      0.143            0.117         0.028           0.359    
OperationGetAllNeighbors-both                                       0.145            0.108         0.033           0.362    
OperationGetNeighborEdgeConditional-both                            0.531            0.300         0.065           1.416    
OperationGetFirstNeighbor-out-withlabel                             0.101            0.106         0.026           0.327    
OperationGetAllNeighbors-out-withlabel                              0.102            0.093         0.029           0.346    
OperationGetNeighborEdgeConditional-out-withlabel                   0.267            0.202         0.031           0.884    
OperationGetFirstNeighbor-in-withlabel                              0.089            0.090         0.031           0.329    
OperationGetAllNeighbors-in-withlabel                               0.105            0.106         0.030           0.341    
OperationGetNeighborEdgeConditional-in-withlabel                    0.263            0.200         0.033           0.830    
OperationGetFirstNeighbor-both-withlabel                            0.097            0.106         0.032           0.431    
OperationGetAllNeighbors-both-withlabel                             0.098            0.104         0.033           0.390    
OperationGetNeighborEdgeConditional-both-withlabel                  0.311            0.219         0.032           1.021    
OperationGetKHopNeighbors-out-1                                     0.076            0.093         0.026           0.408    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.287            0.228         0.028           1.070    
OperationGetKHopNeighbors-out-2                                     0.112            0.114         0.028           0.489    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.397            0.253         0.025           1.158    
OperationGetKHopNeighbors-out-3                                     0.163            0.119         0.029           0.459    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.411            0.279         0.028           1.155    
OperationGetKHopNeighbors-out-4                                     0.151            0.111         0.032           0.626    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.268            0.215         0.024           0.963    
OperationGetKHopNeighbors-out-5                                     0.207            0.146         0.020           0.708    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.264            0.257         0.018           1.252    
OperationGetKHopNeighbors-in-1                                      0.030            0.014         0.021           0.149    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.137            0.100         0.020           0.389    
OperationGetKHopNeighbors-in-2                                      0.044            0.027         0.023           0.243    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.221            0.144         0.027           0.555    
OperationGetKHopNeighbors-in-3                                      0.065            0.030         0.027           0.213    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.212            0.177         0.019           0.800    
OperationGetKHopNeighbors-in-4                                      0.111            0.063         0.021           0.363    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.209            0.147         0.019           0.736    
OperationGetKHopNeighbors-in-5                                      0.184            0.135         0.019           0.763    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.211            0.146         0.021           0.588    
