operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                307.708            0.000       307.708         307.708    
OperationDoGC                                    2132.847          205.922      1526.613        2307.373    
OperationGetManyVertices                            0.029            0.006         0.021           0.063    
OperationGetManyEdges                               0.233            0.066         0.123           0.605    
OperationGetFirstNeighbor-out                       0.280            0.079         0.134           0.550    
OperationGetAllNeighbors-out                        0.248            0.091         0.110           0.573    
OperationGetNeighborEdgeConditional-out             0.398            0.220         0.110           1.373    
OperationGetFirstNeighbor-in                        0.199            0.050         0.115           0.433    
OperationGetAllNeighbors-in                         0.227            0.054         0.129           0.482    
OperationGetNeighborEdgeConditional-in              0.371            0.077         0.242           0.516    
OperationGetFirstNeighbor-both                      0.184            0.057         0.116           0.529    
OperationGetAllNeighbors-both                       0.282            0.079         0.137           0.701    
OperationGetNeighborEdgeConditional-both            0.498            0.169         0.245           1.144    
OperationGetManyVertexProperties-name               2.489            0.650         1.099           4.727    
OperationGetManyVertexProperties-age                1.091            0.239         0.516           2.228    
OperationGetManyEdgeProperties-time                 1.603            0.640         0.740           4.362    
OperationGetManyVertexPropertySets                  0.979            0.232         0.501           1.729    
OperationGetManyEdgePropertySets                    1.366            1.206         0.607          12.847    
OperationShutdownGraph                           1450.916            0.000      1450.916        1450.916    
