operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                290.364            0.000       290.364         290.364    
OperationDoGC                                    2430.518          221.476      1491.246        2681.279    
OperationGetKHopNeighbors-out-1                     0.332            0.074         0.163           0.641    
OperationGetKHopNeighbors-out-2                     0.630            0.958         0.184           7.046    
OperationGetKHopNeighbors-out-3                     1.086            2.298         0.142          16.782    
OperationGetKHopNeighbors-out-4                     3.109           13.016         0.138         123.094    
OperationGetKHopNeighbors-out-5                    47.427          355.765         0.114        3525.364    
OperationGetKHopNeighbors-in-1                      0.206            0.065         0.130           0.551    
OperationGetKHopNeighbors-in-2                      0.484            0.205         0.196           1.669    
OperationGetKHopNeighbors-in-3                      2.050            0.956         0.726           6.988    
OperationGetKHopNeighbors-in-4                      9.014            3.908         3.843          38.877    
OperationGetKHopNeighbors-in-5                     22.802            7.960         5.734          49.322    
OperationGetKHopNeighbors-both-1                    0.234            0.075         0.123           0.820    
OperationGetKHopNeighbors-both-2                    0.596            0.367         0.217           3.057    
OperationGetKHopNeighbors-both-3                    7.194            8.160         1.329          56.814    
OperationGetKHopNeighbors-both-4                  107.071          153.035        11.434        1007.132    
OperationGetKHopNeighbors-both-5                 1709.201         1330.851       220.620        6934.524    
OperationGetKHopNeighbors-out-withlabel-1           0.162            0.054         0.095           0.533    
OperationGetKHopNeighbors-out-withlabel-2           0.227            0.136         0.090           1.009    
OperationGetKHopNeighbors-out-withlabel-3           0.231            0.280         0.076           2.612    
OperationGetKHopNeighbors-out-withlabel-4           0.518            1.498         0.077          12.995    
OperationGetKHopNeighbors-out-withlabel-5           0.529            1.152         0.075           7.551    
OperationGetKHopNeighbors-in-withlabel-1            0.140            0.054         0.078           0.461    
OperationGetKHopNeighbors-in-withlabel-2            0.614            3.817         0.110          38.583    
OperationGetKHopNeighbors-in-withlabel-3            0.421            0.157         0.094           0.930    
OperationGetKHopNeighbors-in-withlabel-4            0.675            0.344         0.151           1.677    
OperationGetKHopNeighbors-in-withlabel-5            1.036            0.551         0.098           2.492    
OperationGetKHopNeighbors-both-withlabel-1          0.151            0.037         0.085           0.280    
OperationGetKHopNeighbors-both-withlabel-2          0.309            0.150         0.123           0.870    
OperationGetKHopNeighbors-both-withlabel-3          1.827            4.403         0.258          44.761    
OperationGetKHopNeighbors-both-withlabel-4          8.945           12.363         0.102          95.860    
OperationGetKHopNeighbors-both-withlabel-5         63.461           76.513         0.097         410.034    
OperationShutdownGraph                           1075.697            0.000      1075.697        1075.697    
