operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                276.004            0.000       276.004         276.004    
OperationDoGC                                                    2430.747          241.133      1537.500        2713.380    
OperationGetManyVertices                                            0.095            0.000         0.095           0.095    
OperationGetManyEdges                                               0.283            0.000         0.283           0.283    
OperationGetFirstNeighbor-out                                       0.186            0.044         0.102           0.298    
OperationGetAllNeighbors-out                                        0.171            0.057         0.091           0.468    
OperationGetNeighborEdgeConditional-out                            32.095           41.417         0.075         208.425    
OperationGetFirstNeighbor-in                                        0.153            0.057         0.025           0.553    
OperationGetAllNeighbors-in                                         0.167            0.067         0.077           0.454    
OperationGetNeighborEdgeConditional-in                             12.449            5.574         0.477          30.207    
OperationGetFirstNeighbor-both                                      0.144            0.046         0.077           0.442    
OperationGetAllNeighbors-both                                       0.162            0.048         0.080           0.320    
OperationGetNeighborEdgeConditional-both                           42.597           38.665         4.168         251.255    
OperationGetFirstNeighbor-out-withlabel                             0.171            0.032         0.092           0.284    
OperationGetAllNeighbors-out-withlabel                              0.163            0.049         0.108           0.445    
OperationGetNeighborEdgeConditional-out-withlabel                  13.547           18.074         0.083          88.931    
OperationGetFirstNeighbor-in-withlabel                              0.180            0.051         0.089           0.469    
OperationGetAllNeighbors-in-withlabel                               0.186            0.073         0.099           0.632    
OperationGetNeighborEdgeConditional-in-withlabel                    6.317            4.195         0.105          18.623    
OperationGetFirstNeighbor-both-withlabel                            0.167            0.048         0.089           0.346    
OperationGetAllNeighbors-both-withlabel                             0.176            0.052         0.091           0.399    
OperationGetNeighborEdgeConditional-both-withlabel                 18.461           23.688         0.084         124.317    
OperationGetKHopNeighbors-out-1                                     0.154            0.044         0.071           0.313    
OperationGetKHopNeighborsEdgeConditional-out-1                     22.565           30.242         0.069         175.194    
OperationGetKHopNeighbors-out-2                                     0.452            0.756         0.073           6.101    
OperationGetKHopNeighborsEdgeConditional-out-2                     33.188           39.131         0.080         208.266    
OperationGetKHopNeighbors-out-3                                     1.400            2.946         0.083          16.202    
OperationGetKHopNeighborsEdgeConditional-out-3                     32.743           40.014         0.065         213.227    
OperationGetKHopNeighbors-out-4                                     1.752            3.812         0.067          25.386    
OperationGetKHopNeighborsEdgeConditional-out-4                     31.562           39.206         0.064         249.831    
OperationGetKHopNeighbors-out-5                                     8.668           52.140         0.031         517.680    
OperationGetKHopNeighborsEdgeConditional-out-5                     38.772           57.859         0.019         388.770    
OperationGetKHopNeighbors-in-1                                      0.062            0.042         0.017           0.422    
OperationGetKHopNeighborsEdgeConditional-in-1                      10.242            6.333         0.113          31.056    
OperationGetKHopNeighbors-in-2                                      0.325            0.157         0.105           1.015    
OperationGetKHopNeighborsEdgeConditional-in-2                      21.417           11.555         0.820          80.012    
OperationGetKHopNeighbors-in-3                                      2.337            2.291         0.201          22.994    
OperationGetKHopNeighborsEdgeConditional-in-3                      29.106           16.063         5.167         104.465    
OperationGetKHopNeighbors-in-4                                      9.335            3.562         5.804          35.806    
OperationGetKHopNeighborsEdgeConditional-in-4                      28.312           13.036         0.812          60.319    
OperationGetKHopNeighbors-in-5                                     25.747            7.795        10.951          66.815    
OperationGetKHopNeighborsEdgeConditional-in-5                      29.578           15.158         0.514          67.606    
OperationGetKHopNeighbors-both-1                                    0.059            0.037         0.031           0.384    
OperationGetKHopNeighborsEdgeConditional-both-1                    29.689           28.073         0.265         157.120    
OperationGetKHopNeighbors-both-2                                    0.446            0.328         0.102           2.649    
OperationGetKHopNeighborsEdgeConditional-both-2                    61.594           45.008        10.161         294.345    
OperationGetKHopNeighbors-both-3                                    8.191           19.459         0.946         187.460    
OperationGetKHopNeighborsEdgeConditional-both-3                    90.217           65.478        14.697         271.121    
OperationGetKHopNeighbors-both-4                                   71.490          106.888         8.955         714.684    
OperationGetKHopNeighborsEdgeConditional-both-4                    93.697          109.141         0.241         927.556    
OperationGetKHopNeighbors-both-5                                 1270.582         1138.448       177.604        6183.739    
OperationGetKHopNeighborsEdgeConditional-both-5                    57.167           41.237         0.730         221.745    
OperationGetKHopNeighbors-out-withlabel-1                           0.097            0.048         0.039           0.454    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            3.854            6.826         0.031          30.436    
OperationGetKHopNeighbors-out-withlabel-2                           0.185            0.143         0.038           0.646    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            6.423            9.440         0.031          47.578    
OperationGetKHopNeighbors-out-withlabel-3                           0.201            0.238         0.032           1.644    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            8.718           12.927         0.033          55.357    
OperationGetKHopNeighbors-out-withlabel-4                           0.447            0.898         0.029           5.529    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            6.093           10.967         0.030          72.936    
OperationGetKHopNeighbors-out-withlabel-5                           1.296            6.734         0.028          66.535    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            7.187           11.914         0.020          60.854    
OperationGetKHopNeighbors-in-withlabel-1                            0.072            0.041         0.019           0.417    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             1.578            3.253         0.075          13.617    
