operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               3934.341            0.000      3934.341        3934.341    
OperationDoGC                                    1410.667           42.629      1396.289        1586.147    
OperationGetManyVertices                            0.209            0.043         0.140           0.281    
OperationGetManyEdges                               0.338            0.072         0.216           0.487    
OperationGetFirstNeighbor-out                       2.303            5.218         0.101          27.667    
OperationGetAllNeighbors-out                        2.182            4.407         0.091          22.519    
OperationGetNeighborEdgeConditional-out             5.568           13.114         0.112          84.333    
OperationGetFirstNeighbor-in                        1.989            4.820         0.096          27.640    
OperationGetAllNeighbors-in                         1.330            4.236         0.100          22.309    
OperationGetNeighborEdgeConditional-in              1.934            5.748         0.141          36.496    
OperationGetFirstNeighbor-both                      3.125            6.330         0.160          33.721    
OperationGetAllNeighbors-both                       2.998            5.963         0.132          33.551    
OperationGetNeighborEdgeConditional-both            6.477           13.893         0.198          72.643    
OperationGetManyVertexProperties-name               7.175           12.499         1.298         100.065    
OperationGetManyVertexProperties-age                4.200            6.201         0.934          51.686    
OperationGetManyEdgeProperties-time                45.231           27.713         2.797         178.723    
OperationGetManyVertexPropertySets                  4.241            2.292         1.897          21.341    
OperationGetManyEdgePropertySets                   19.634           11.783         1.757          58.886    
OperationShutdownGraph                             94.065            0.000        94.065          94.065    
