operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               3764.749            0.000      3764.749        3764.749    
OperationDoGC                                    1391.667            5.792      1384.466        1414.781    
OperationGetKHopNeighbors-out-1                     0.106            0.019         0.066           0.188    
OperationGetKHopNeighbors-out-2                     0.278            0.311         0.067           2.354    
OperationGetKHopNeighbors-out-3                     0.802            2.036         0.067          18.756    
OperationGetKHopNeighbors-out-4                     4.677           29.370         0.066         293.217    
OperationGetKHopNeighbors-out-5                     4.395           14.602         0.070         104.282    
OperationGetKHopNeighbors-in-1                      0.127            0.023         0.095           0.225    
OperationGetKHopNeighbors-in-2                      0.404            0.090         0.269           0.566    
OperationGetKHopNeighbors-in-3                      1.250            0.347         0.438           3.055    
OperationGetKHopNeighbors-in-4                      3.351            0.891         1.129           5.627    
OperationGetKHopNeighbors-in-5                      7.917            2.138         0.708          13.254    
OperationGetKHopNeighbors-both-1                    0.142            0.023         0.099           0.198    
OperationGetKHopNeighbors-both-2                    0.948            0.768         0.371           5.943    
OperationGetKHopNeighbors-both-3                   11.230            7.750         1.477          47.196    
OperationGetKHopNeighbors-both-4                   93.804          105.983        23.643         854.945    
OperationGetKHopNeighbors-both-5                 1008.817          963.054       189.193        7201.662    
OperationGetKHopNeighbors-out-withlabel-1           0.089            0.014         0.067           0.158    
OperationGetKHopNeighbors-out-withlabel-2           0.275            0.387         0.066           3.372    
OperationGetKHopNeighbors-out-withlabel-3           0.679            2.453         0.066          23.030    
OperationGetKHopNeighbors-out-withlabel-4           1.598            5.261         0.082          39.987    
OperationGetKHopNeighbors-out-withlabel-5           1.014            2.051         0.070          13.070    
OperationGetKHopNeighbors-in-withlabel-1            0.098            0.011         0.076           0.149    
OperationGetKHopNeighbors-in-withlabel-2            0.267            0.038         0.177           0.376    
OperationGetKHopNeighbors-in-withlabel-3            0.751            0.097         0.427           0.857    
OperationGetKHopNeighbors-in-withlabel-4            2.501            0.567         1.063           3.665    
OperationGetKHopNeighbors-in-withlabel-5            8.066            1.964         1.684          11.422    
OperationGetKHopNeighbors-both-withlabel-1          0.120            0.023         0.090           0.194    
OperationGetKHopNeighbors-both-withlabel-2          0.641            0.578         0.248           5.282    
OperationGetKHopNeighbors-both-withlabel-3          8.624            4.557         2.193          30.643    
OperationGetKHopNeighbors-both-withlabel-4        107.305          100.755        20.410         585.362    
OperationGetKHopNeighbors-both-withlabel-5        866.941          635.949       220.003        3497.862    
OperationLocalClusteringCoefficient                 0.824            0.627         0.322           5.040    
OperationShutdownGraph                            281.807            0.000       281.807         281.807    
