operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                               3730.778            0.000      3730.778        3730.778    
OperationDoGC                                                    1416.220            8.599      1407.835        1466.504    
OperationGetManyVertices                                            0.272            0.000         0.272           0.272    
OperationGetManyEdges                                               0.350            0.000         0.350           0.350    
OperationGetFirstNeighbor-out                                       0.132            0.015         0.091           0.178    
OperationGetAllNeighbors-out                                        0.128            0.023         0.075           0.220    
OperationGetNeighborEdgeConditional-out                             0.223            0.114         0.090           0.756    
OperationGetFirstNeighbor-in                                        0.127            0.018         0.101           0.189    
OperationGetAllNeighbors-in                                         0.127            0.016         0.086           0.154    
OperationGetNeighborEdgeConditional-in                              0.226            0.034         0.155           0.288    
OperationGetFirstNeighbor-both                                      0.189            0.029         0.130           0.261    
OperationGetAllNeighbors-both                                       0.183            0.030         0.131           0.245    
OperationGetNeighborEdgeConditional-both                            0.322            0.137         0.177           1.080    
OperationGetFirstNeighbor-out-withlabel                             0.133            0.017         0.094           0.190    
OperationGetAllNeighbors-out-withlabel                              0.124            0.020         0.094           0.197    
OperationGetNeighborEdgeConditional-out-withlabel                   0.261            0.120         0.103           0.616    
OperationGetFirstNeighbor-in-withlabel                              0.144            0.022         0.109           0.199    
OperationGetAllNeighbors-in-withlabel                               0.149            0.023         0.087           0.218    
OperationGetNeighborEdgeConditional-in-withlabel                    0.222            0.035         0.166           0.305    
OperationGetFirstNeighbor-both-withlabel                            0.204            0.030         0.136           0.284    
OperationGetAllNeighbors-both-withlabel                             0.195            0.037         0.134           0.277    
OperationGetNeighborEdgeConditional-both-withlabel                  0.352            0.185         0.145           1.686    
OperationGetKHopNeighbors-out-1                                     0.119            0.020         0.078           0.181    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.227            0.164         0.067           1.104    
OperationGetKHopNeighbors-out-2                                     0.350            0.322         0.097           2.300    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.290            0.210         0.065           1.382    
OperationGetKHopNeighbors-out-3                                     1.311            2.478         0.080          15.744    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.281            0.175         0.066           1.196    
OperationGetKHopNeighbors-out-4                                     3.293            8.314         0.091          60.574    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.318            0.205         0.063           0.975    
OperationGetKHopNeighbors-out-5                                    11.228           90.972         0.070         913.975    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.276            0.174         0.064           0.961    
OperationGetKHopNeighbors-in-1                                      0.135            0.023         0.088           0.192    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.177            0.029         0.108           0.247    
OperationGetKHopNeighbors-in-2                                      0.386            0.087         0.230           0.564    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.283            0.054         0.181           0.389    
OperationGetKHopNeighbors-in-3                                      1.190            0.317         0.485           1.724    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.406            0.065         0.243           0.531    
OperationGetKHopNeighbors-in-4                                      2.862            0.976         1.006           5.346    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.403            0.112         0.179           0.597    
OperationGetKHopNeighbors-in-5                                      8.225            1.944         2.310          12.751    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.474            0.133         0.221           0.769    
OperationGetKHopNeighbors-both-1                                    0.161            0.030         0.100           0.231    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.316            0.159         0.164           1.671    
OperationGetKHopNeighbors-both-2                                    0.638            0.350         0.309           2.584    
