operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                 84.472            0.000        84.472          84.472    
OperationDoGC                                    1392.370            5.514      1386.644        1431.981    
OperationGetKHopNeighbors-out-1                     0.135            0.035         0.084           0.234    
OperationGetKHopNeighbors-out-2                     0.253            0.304         0.085           2.811    
OperationGetKHopNeighbors-out-3                     0.689            1.122         0.086           6.597    
OperationGetKHopNeighbors-out-4                     0.719            1.508         0.087           8.822    
OperationGetKHopNeighbors-out-5                     0.953            1.981         0.086          12.545    
OperationGetKHopNeighbors-in-1                      0.152            0.033         0.109           0.287    
OperationGetKHopNeighbors-in-2                      0.245            0.060         0.139           0.368    
OperationGetKHopNeighbors-in-3                      0.581            0.158         0.182           0.845    
OperationGetKHopNeighbors-in-4                      1.095            0.455         0.238           1.990    
OperationGetKHopNeighbors-in-5                      1.629            0.736         0.385           4.150    
OperationGetKHopNeighbors-both-1                    0.188            0.037         0.116           0.311    
OperationGetKHopNeighbors-both-2                    0.708            0.425         0.294           3.630    
OperationGetKHopNeighbors-both-3                    5.866            2.919         1.234          14.784    
OperationGetKHopNeighbors-both-4                   15.366            3.012         7.397          23.603    
OperationGetKHopNeighbors-both-5                   18.259            1.587        16.414          26.460    
OperationGetKHopNeighbors-out-withlabel-1           0.139            0.029         0.091           0.230    
OperationGetKHopNeighbors-out-withlabel-2           0.167            0.085         0.089           0.588    
OperationGetKHopNeighbors-out-withlabel-3           0.217            0.319         0.092           2.860    
OperationGetKHopNeighbors-out-withlabel-4           0.235            0.398         0.092           3.486    
OperationGetKHopNeighbors-out-withlabel-5           0.297            0.749         0.089           5.506    
OperationGetKHopNeighbors-in-withlabel-1            0.143            0.026         0.100           0.232    
OperationGetKHopNeighbors-in-withlabel-2            0.187            0.034         0.120           0.293    
OperationGetKHopNeighbors-in-withlabel-3            0.243            0.065         0.133           0.389    
OperationGetKHopNeighbors-in-withlabel-4            0.279            0.106         0.093           0.635    
OperationGetKHopNeighbors-in-withlabel-5            0.353            0.156         0.095           0.873    
OperationGetKHopNeighbors-both-withlabel-1          0.169            0.029         0.114           0.254    
OperationGetKHopNeighbors-both-withlabel-2          0.320            0.134         0.099           1.039    
OperationGetKHopNeighbors-both-withlabel-3          1.606            1.028         0.251           6.185    
OperationGetKHopNeighbors-both-withlabel-4          4.757            2.480         0.132          10.495    
OperationGetKHopNeighbors-both-withlabel-5          8.772            3.226         0.101          17.999    
OperationShutdownGraph                            209.741            0.000       209.741         209.741    
