operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                               5521.119            0.000      5521.119        5521.119    
OperationDoGC                                                    1433.601          144.424      1409.653        2813.244    
OperationGetManyVertices                                            0.261            0.000         0.261           0.261    
OperationGetManyEdges                                               0.363            0.000         0.363           0.363    
OperationGetFirstNeighbor-out                                       4.572            6.778         0.102          34.750    
OperationGetAllNeighbors-out                                        2.985            5.924         0.106          22.992    
OperationGetNeighborEdgeConditional-out                             6.469            8.565         0.163          35.987    
OperationGetFirstNeighbor-in                                        2.805            6.827         0.099          28.726    
OperationGetAllNeighbors-in                                         3.384            7.020         0.115          30.045    
OperationGetNeighborEdgeConditional-in                             12.991           14.542         0.183          63.392    
OperationGetFirstNeighbor-both                                      4.983           11.917         0.158         105.659    
OperationGetAllNeighbors-both                                       5.020            7.050         0.171          41.244    
OperationGetNeighborEdgeConditional-both                           15.735           15.054         0.359         105.742    
OperationGetFirstNeighbor-out-withlabel                             3.726            7.097         0.122          32.701    
OperationGetAllNeighbors-out-withlabel                              2.846            5.917         0.098          22.342    
OperationGetNeighborEdgeConditional-out-withlabel                   5.459            8.533         0.180          36.091    
OperationGetFirstNeighbor-in-withlabel                              3.591            6.848         0.120          25.080    
OperationGetAllNeighbors-in-withlabel                               3.483            6.063         0.132          22.741    
OperationGetNeighborEdgeConditional-in-withlabel                   10.592           12.626         0.193          55.108    
OperationGetFirstNeighbor-both-withlabel                            6.864           14.399         0.170         127.939    
OperationGetAllNeighbors-both-withlabel                             5.517           10.599         0.192          83.997    
OperationGetNeighborEdgeConditional-both-withlabel                 11.786           11.009         0.407          53.941    
OperationGetKHopNeighbors-out-1                                     4.357            7.028         0.106          26.668    
OperationGetKHopNeighborsEdgeConditional-out-1                      4.305            7.449         0.134          33.603    
OperationGetKHopNeighbors-out-2                                    18.755           17.834         0.132          86.061    
OperationGetKHopNeighborsEdgeConditional-out-2                      7.072            8.552         0.287          40.409    
OperationGetKHopNeighbors-out-3                                    94.308           56.972         1.643         294.061    
OperationGetKHopNeighborsEdgeConditional-out-3                     12.329           15.247         0.117         124.758    
OperationGetKHopNeighbors-out-4                                   270.199          191.959        21.392         780.088    
OperationGetKHopNeighborsEdgeConditional-out-4                      9.928           10.006         0.115          43.377    
OperationGetKHopNeighbors-out-5                                   162.694          189.306         9.687        1072.981    
OperationGetKHopNeighborsEdgeConditional-out-5                     12.050            9.894         0.104          37.577    
OperationGetKHopNeighbors-in-1                                      3.352            6.453         0.110          31.428    
OperationGetKHopNeighborsEdgeConditional-in-1                       6.267           12.117         0.240          92.770    
OperationGetKHopNeighbors-in-2                                     10.343           10.889         0.347          51.701    
OperationGetKHopNeighborsEdgeConditional-in-2                       9.374            8.841         0.302          45.344    
OperationGetKHopNeighbors-in-3                                     60.792           35.349         1.999         201.046    
OperationGetKHopNeighborsEdgeConditional-in-3                      12.950           13.209         0.424          91.110    
OperationGetKHopNeighbors-in-4                                    131.862           91.147         0.117         408.345    
OperationGetKHopNeighborsEdgeConditional-in-4                       9.673           11.614         0.553          78.096    
OperationGetKHopNeighbors-in-5                                     88.621           92.136         7.464         418.562    
OperationGetKHopNeighborsEdgeConditional-in-5                       5.682            7.526         0.490          34.340    
OperationGetKHopNeighbors-both-1                                    0.157            0.033         0.107           0.234    
OperationGetKHopNeighborsEdgeConditional-both-1                     2.209            6.293         0.288          41.337    
OperationGetKHopNeighbors-both-2                                    0.868            0.200         0.429           1.543    
OperationGetKHopNeighborsEdgeConditional-both-2                     3.582            7.297         0.400          32.933    
OperationGetKHopNeighbors-both-3                                   10.934            5.688         3.127          33.731    
OperationGetKHopNeighborsEdgeConditional-both-3                     3.532            6.514         0.502          36.023    
OperationGetKHopNeighbors-both-4                                   85.717           26.660        29.989         164.888    
OperationGetKHopNeighborsEdgeConditional-both-4                     4.244            7.075         0.704          30.054    
OperationGetKHopNeighbors-both-5                                 1346.531          427.959       497.577        2669.007    
OperationGetKHopNeighborsEdgeConditional-both-5                    15.516           13.105         0.569          79.970    
OperationGetKHopNeighbors-out-withlabel-1                           0.116            0.020         0.084           0.169    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            2.546            6.013         0.082          24.485    
OperationGetKHopNeighbors-out-withlabel-2                           0.260            0.078         0.113           0.504    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            3.445            6.748         0.196          25.536    
OperationGetKHopNeighbors-out-withlabel-3                           1.080            0.433         0.103           2.310    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            3.967            6.930         0.214          29.720    
OperationGetKHopNeighbors-out-withlabel-4                           6.208            2.851         0.114          13.822    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            4.831            7.277         0.337          33.103    
OperationGetKHopNeighbors-out-withlabel-5                          27.418           11.667         3.887          53.120    
