operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               1871.623            0.000      1871.623        1871.623    
OperationDoGC                                    1394.614            5.256      1388.537        1427.116    
OperationGetKHopNeighbors-out-1                     0.186            0.052         0.114           0.349    
OperationGetKHopNeighbors-out-2                     0.414            0.359         0.092           2.666    
OperationGetKHopNeighbors-out-3                     2.013            4.982         0.104          32.302    
OperationGetKHopNeighbors-out-4                     2.534            7.235         0.092          40.351    
OperationGetKHopNeighbors-out-5                     6.094           33.763         0.092         322.877    
OperationGetKHopNeighbors-in-1                      0.189            0.033         0.129           0.257    
OperationGetKHopNeighbors-in-2                      0.518            0.119         0.264           0.674    
OperationGetKHopNeighbors-in-3                      1.511            0.501         0.540           2.353    
OperationGetKHopNeighbors-in-4                      4.838            1.336         1.464           8.847    
OperationGetKHopNeighbors-in-5                     11.200            2.863         3.739          18.792    
OperationGetKHopNeighbors-both-1                    0.254            0.051         0.138           0.439    
OperationGetKHopNeighbors-both-2                    1.907            2.750         0.523          26.425    
OperationGetKHopNeighbors-both-3                   15.720           10.119         3.794          54.151    
OperationGetKHopNeighbors-both-4                  174.158          206.806        34.176        1733.408    
OperationGetKHopNeighbors-both-5                 1851.667         1326.201       451.019        7199.713    
OperationGetKHopNeighbors-out-withlabel-1           0.158            0.053         0.102           0.346    
OperationGetKHopNeighbors-out-withlabel-2           0.353            0.596         0.102           5.747    
OperationGetKHopNeighbors-out-withlabel-3           1.484            5.847         0.099          52.170    
OperationGetKHopNeighbors-out-withlabel-4           1.874            4.436         0.103          26.657    
OperationGetKHopNeighbors-out-withlabel-5           3.570           10.007         0.096          55.258    
OperationGetKHopNeighbors-in-withlabel-1            0.182            0.024         0.129           0.236    
OperationGetKHopNeighbors-in-withlabel-2            0.391            0.073         0.243           0.558    
OperationGetKHopNeighbors-in-withlabel-3            1.186            0.205         0.300           1.435    
OperationGetKHopNeighbors-in-withlabel-4            4.477            0.867         1.660           7.009    
OperationGetKHopNeighbors-in-withlabel-5           10.897            3.076         1.112          20.936    
OperationGetKHopNeighbors-both-withlabel-1          0.248            0.087         0.150           0.551    
OperationGetKHopNeighbors-both-withlabel-2          1.229            0.924         0.423           5.821    
OperationGetKHopNeighbors-both-withlabel-3         15.840           13.085         2.427          65.624    
OperationGetKHopNeighbors-both-withlabel-4        155.786          144.769        34.308        1036.131    
OperationGetKHopNeighbors-both-withlabel-5       1863.341         1095.602       419.550        5954.927    
OperationShutdownGraph                            222.665            0.000       222.665         222.665    
