operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               1796.568            0.000      1796.568        1796.568    
OperationDoGC                                    1387.159            5.619      1380.788        1413.385    
OperationGetKHopNeighbors-out-1                     0.122            0.019         0.067           0.170    
OperationGetKHopNeighbors-out-2                     0.314            0.235         0.081           1.649    
OperationGetKHopNeighbors-out-3                     1.649           10.571         0.078         106.225    
OperationGetKHopNeighbors-out-4                     3.217           12.672         0.064          97.023    
OperationGetKHopNeighbors-out-5                     1.881            4.132         0.063          21.035    
OperationGetKHopNeighbors-in-1                      0.116            0.020         0.090           0.179    
OperationGetKHopNeighbors-in-2                      0.387            0.083         0.265           0.532    
OperationGetKHopNeighbors-in-3                      1.073            0.699         0.444           7.331    
OperationGetKHopNeighbors-in-4                      2.639            0.795         0.779           4.351    
OperationGetKHopNeighbors-in-5                      7.406            2.255         0.925          11.476    
OperationGetKHopNeighbors-both-1                    0.146            0.028         0.083           0.240    
OperationGetKHopNeighbors-both-2                    0.943            0.672         0.374           4.731    
OperationGetKHopNeighbors-both-3                   11.364           10.827         2.049         103.167    
OperationGetKHopNeighbors-both-4                   73.325           47.986        20.773         277.022    
OperationGetKHopNeighbors-both-5                  757.611          666.055       177.622        3787.008    
OperationGetKHopNeighbors-out-withlabel-1           0.088            0.012         0.068           0.135    
OperationGetKHopNeighbors-out-withlabel-2           0.222            0.202         0.065           1.317    
OperationGetKHopNeighbors-out-withlabel-3           0.461            1.694         0.065          17.040    
OperationGetKHopNeighbors-out-withlabel-4           1.347            7.444         0.070          73.990    
OperationGetKHopNeighbors-out-withlabel-5          16.015           78.750         0.067         681.148    
OperationGetKHopNeighbors-in-withlabel-1            0.090            0.011         0.068           0.127    
OperationGetKHopNeighbors-in-withlabel-2            0.262            0.029         0.155           0.320    
OperationGetKHopNeighbors-in-withlabel-3            0.624            0.164         0.255           0.837    
OperationGetKHopNeighbors-in-withlabel-4            2.096            0.669         0.422           2.999    
OperationGetKHopNeighbors-in-withlabel-5            7.230            1.854         2.344          10.584    
OperationGetKHopNeighbors-both-withlabel-1          0.115            0.021         0.085           0.184    
OperationGetKHopNeighbors-both-withlabel-2          0.829            0.801         0.251           7.194    
OperationGetKHopNeighbors-both-withlabel-3          9.592            6.790         1.754          34.534    
OperationGetKHopNeighbors-both-withlabel-4         76.544           54.974        16.183         348.430    
OperationGetKHopNeighbors-both-withlabel-5        818.421          796.156       199.253        5048.883    
OperationLocalClusteringCoefficient                 0.876            0.762         0.271           4.672    
OperationShutdownGraph                            237.540            0.000       237.540         237.540    
