"operation","dex-mean","dex-stdev","dex-min","dex-max"
"OperationOpenGraph","1.791445357E9","0.0","1.791445357E9","1.791445357E9"
"OperationDoGC","1.4097496070555556E9","3.844857645067154E7","1.395984664E9","1.567886992E9"
"OperationGetManyVertices","210702.07","25249.46889312922","120472.0","328674.0"
"OperationGetManyEdges","253537.59","53829.00564065715","175105.0","337466.0"
"OperationGetFirstNeighbor-out","125673.53","18889.8121808847","71375.0","173734.0"
"OperationGetAllNeighbors-out","124403.87","17601.341379369358","90137.0","192122.0"
"OperationGetNeighborEdgeConditional-out","199769.56","89059.82086679943","68708.0","567725.0"
"OperationGetFirstNeighbor-in","119976.4","22129.0137272315","95967.0","209643.0"
"OperationGetAllNeighbors-in","130971.21","20930.657547862655","97102.0","187235.0"
"OperationGetNeighborEdgeConditional-in","197950.43","27291.327863720737","134739.0","263247.0"
"OperationGetFirstNeighbor-both","185370.52","26520.072873761106","125533.0","259006.0"
"OperationGetAllNeighbors-both","176979.32","24870.81535409726","125293.0","239188.0"
"OperationGetNeighborEdgeConditional-both","295550.11","99282.77741732399","160188.0","752329.0"
"OperationGetManyVertexProperties-name","2223305.99","420701.65162645845","1217774.0","3472292.0"
"OperationGetManyVertexProperties-age","1573053.37","620921.4008811689","867939.0","3326029.0"
"OperationGetManyEdgeProperties-time","2580365.49","571004.6894806467","1199874.0","5862854.0"
"OperationGetManyVertexPropertySets","3393307.11","139889.2822259014","3264945.0","4416299.0"
"OperationGetManyEdgePropertySets","1781067.45","324749.1495160033","1028006.0","2143254.0"
"OperationShutdownGraph","1.49626187E8","0.0","1.49626187E8","1.49626187E8"
