operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               3100.266            0.000      3100.266        3100.266    
OperationDoGC                                    1390.839            6.327      1383.878        1413.125    
OperationGetKHopNeighbors-out-1                     5.598            6.699         0.119          29.132    
OperationGetKHopNeighbors-out-2                    28.693           20.578         0.390         121.151    
OperationGetKHopNeighbors-out-3                   116.548           68.377         0.155         263.900    
OperationGetKHopNeighbors-out-4                   160.326          159.417         3.359         822.463    
OperationGetKHopNeighbors-out-5                    48.568           53.887         0.083         356.435    
OperationGetKHopNeighbors-in-1                      5.688           12.404         0.120         113.188    
OperationGetKHopNeighbors-in-2                     36.343           22.974         0.118         119.031    
OperationGetKHopNeighbors-in-3                    124.415           68.008        17.502         311.018    
OperationGetKHopNeighbors-in-4                    158.786          173.219         3.801        1038.449    
OperationGetKHopNeighbors-in-5                     54.672           47.033         9.578         270.349    
OperationGetKHopNeighbors-both-1                    0.173            0.024         0.115           0.233    
OperationGetKHopNeighbors-both-2                    1.311            0.415         0.479           2.547    
OperationGetKHopNeighbors-both-3                   11.232            3.129         2.587          20.956    
OperationGetKHopNeighbors-both-4                  125.613           36.222        52.907         215.960    
OperationGetKHopNeighbors-both-5                 1505.052          411.244       646.478        2860.850    
OperationGetKHopNeighbors-out-withlabel-1           0.078            0.018         0.066           0.223    
OperationGetKHopNeighbors-out-withlabel-2           0.186            0.043         0.068           0.307    
OperationGetKHopNeighbors-out-withlabel-3           0.330            0.144         0.065           0.847    
OperationGetKHopNeighbors-out-withlabel-4           0.945            0.523         0.087           2.475    
OperationGetKHopNeighbors-out-withlabel-5           2.349            1.840         0.081           9.337    
OperationGetKHopNeighbors-in-withlabel-1            0.085            0.012         0.064           0.105    
OperationGetKHopNeighbors-in-withlabel-2            0.174            0.040         0.083           0.302    
OperationGetKHopNeighbors-in-withlabel-3            0.370            0.155         0.082           0.937    
OperationGetKHopNeighbors-in-withlabel-4            0.790            0.460         0.068           1.926    
OperationGetKHopNeighbors-in-withlabel-5            2.581            1.679         0.084           7.319    
OperationGetKHopNeighbors-both-withlabel-1          0.120            0.019         0.077           0.173    
OperationGetKHopNeighbors-both-withlabel-2          0.442            0.115         0.230           0.708    
OperationGetKHopNeighbors-both-withlabel-3          2.121            0.838         0.587           5.029    
OperationGetKHopNeighbors-both-withlabel-4         11.477            4.374         0.939          27.277    
OperationGetKHopNeighbors-both-withlabel-5         51.010           15.448        15.390          91.990    
OperationLocalClusteringCoefficient                 1.334            0.470         0.562           2.860    
OperationShutdownGraph                            169.406            0.000       169.406         169.406    
