operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               2909.659            0.000      2909.659        2909.659    
OperationDoGC                                    1416.649           46.880      1401.367        1609.682    
OperationGetManyVertices                            0.236            0.073         0.158           0.512    
OperationGetManyEdges                               0.255            0.030         0.168           0.370    
OperationGetFirstNeighbor-out                       4.548            5.617         0.108          22.574    
OperationGetAllNeighbors-out                        3.758            6.736         0.117          43.353    
OperationGetNeighborEdgeConditional-out             6.844            8.377         0.190          36.863    
OperationGetFirstNeighbor-in                        4.930            6.431         0.099          25.975    
OperationGetAllNeighbors-in                         5.424            7.550         0.135          47.384    
OperationGetNeighborEdgeConditional-in             10.228            9.922         0.166          36.194    
OperationGetFirstNeighbor-both                      7.260            8.727         0.157          51.014    
OperationGetAllNeighbors-both                       8.305            7.952         0.211          32.929    
OperationGetNeighborEdgeConditional-both           12.182           10.476         0.324          42.771    
OperationGetManyVertexProperties-name               2.309            0.739         1.079           4.164    
OperationGetManyVertexProperties-age                2.175            0.555         1.049           4.024    
OperationGetManyEdgeProperties-time                34.795           18.559         2.321          97.979    
OperationGetManyVertexPropertySets                  3.425            0.256         1.822           3.905    
OperationGetManyEdgePropertySets                   10.403            8.982         1.107          41.092    
OperationShutdownGraph                            157.187            0.000       157.187         157.187    
