operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                               4324.293            0.000      4324.293        4324.293    
OperationDoGC                                                    1414.074            7.818      1406.239        1462.471    
OperationGetManyVertices                                            0.282            0.000         0.282           0.282    
OperationGetManyEdges                                               0.357            0.000         0.357           0.357    
OperationGetFirstNeighbor-out                                       4.723            7.400         0.104          38.515    
OperationGetAllNeighbors-out                                        5.633           13.222         0.111         122.357    
OperationGetNeighborEdgeConditional-out                            11.077           18.009         0.080          95.549    
OperationGetFirstNeighbor-in                                        3.555            5.037         0.105          21.331    
OperationGetAllNeighbors-in                                         4.296            5.780         0.122          18.721    
OperationGetNeighborEdgeConditional-in                              6.261            8.253         0.179          39.310    
OperationGetFirstNeighbor-both                                      7.661           10.571         0.148          80.939    
OperationGetAllNeighbors-both                                       8.979           19.785         0.169         187.262    
OperationGetNeighborEdgeConditional-both                           13.584           16.676         0.265          90.567    
OperationGetFirstNeighbor-out-withlabel                             0.715            3.048         0.075          20.892    
OperationGetAllNeighbors-out-withlabel                              0.499            2.385         0.077          17.348    
OperationGetNeighborEdgeConditional-out-withlabel                   0.791            2.788         0.071          19.083    
OperationGetFirstNeighbor-in-withlabel                              0.531            2.746         0.083          22.153    
OperationGetAllNeighbors-in-withlabel                               0.680            2.851         0.112          21.690    
OperationGetNeighborEdgeConditional-in-withlabel                    0.381            1.400         0.144          14.198    
OperationGetFirstNeighbor-both-withlabel                            1.147            3.709         0.118          20.293    
OperationGetAllNeighbors-both-withlabel                             0.868            3.166         0.140          22.935    
OperationGetNeighborEdgeConditional-both-withlabel                  1.254            3.634         0.159          24.179    
OperationGetKHopNeighbors-out-1                                     3.966            5.725         0.118          23.364    
OperationGetKHopNeighborsEdgeConditional-out-1                      9.705           16.741         0.075         108.718    
OperationGetKHopNeighbors-out-2                                    23.434           45.005         0.126         295.570    
OperationGetKHopNeighborsEdgeConditional-out-2                     16.898           24.046         0.087         122.625    
OperationGetKHopNeighbors-out-3                                    67.621          156.903         0.093         801.367    
OperationGetKHopNeighborsEdgeConditional-out-3                     14.048           18.128         0.079         118.523    
OperationGetKHopNeighbors-out-4                                   417.499         3234.417         0.085       32285.689    
OperationGetKHopNeighborsEdgeConditional-out-4                     18.728           22.520         0.104         111.843    
OperationGetKHopNeighbors-out-5                                    25.881          140.644         0.087        1284.666    
OperationGetKHopNeighborsEdgeConditional-out-5                     14.682           23.220         0.091         145.462    
OperationGetKHopNeighbors-in-1                                      5.864           10.425         0.158          87.764    
OperationGetKHopNeighborsEdgeConditional-in-1                       6.337            8.993         0.171          51.348    
OperationGetKHopNeighbors-in-2                                     43.015           19.577         7.136          87.828    
OperationGetKHopNeighborsEdgeConditional-in-2                      14.678           11.940         0.350          55.267    
OperationGetKHopNeighbors-in-3                                    155.629           66.137         4.343         341.018    
OperationGetKHopNeighborsEdgeConditional-in-3                      19.715           12.787         0.425          55.035    
OperationGetKHopNeighbors-in-4                                    160.226          132.509         2.828         527.725    
OperationGetKHopNeighborsEdgeConditional-in-4                      24.505           15.739         0.372          75.673    
OperationGetKHopNeighbors-in-5                                    131.038          137.924         6.603         661.164    
OperationGetKHopNeighborsEdgeConditional-in-5                      22.018           24.383         0.387         194.823    
OperationGetKHopNeighbors-both-1                                    5.240            6.654         0.143          27.716    
OperationGetKHopNeighborsEdgeConditional-both-1                    22.138           18.194         0.306         119.688    
OperationGetKHopNeighbors-both-2                                   52.675           36.982         0.747         241.138    
OperationGetKHopNeighborsEdgeConditional-both-2                    42.965           22.779         7.027         160.587    
OperationGetKHopNeighbors-both-3                                  428.251          404.292        60.395        2811.153    
OperationGetKHopNeighborsEdgeConditional-both-3                    72.520           35.632         7.061         191.676    
OperationGetKHopNeighbors-both-4                                  744.322         3287.321        16.749       31058.831    
OperationGetKHopNeighborsEdgeConditional-both-4                    61.563           28.752         3.603         141.201    
OperationGetKHopNeighbors-both-5                                 2209.163         3004.238       280.550       21357.246    
OperationGetKHopNeighborsEdgeConditional-both-5                    67.304           28.797         4.273         144.091    
OperationGetKHopNeighbors-out-withlabel-1                           0.102            0.015         0.083           0.174    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            5.335            7.542         0.066          30.253    
OperationGetKHopNeighbors-out-withlabel-2                           0.161            0.101         0.080           0.819    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            5.479            7.354         0.067          33.038    
OperationGetKHopNeighbors-out-withlabel-3                           0.236            0.271         0.081           2.079    
