operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               4239.672            0.000      4239.672        4239.672    
OperationDoGC                                    1419.713           39.536      1404.743        1582.338    
OperationGetManyVertices                            0.231            0.031         0.141           0.420    
OperationGetManyEdges                               0.323            0.038         0.299           0.481    
OperationGetFirstNeighbor-out                       1.172            3.621         0.093          22.192    
OperationGetAllNeighbors-out                        5.750            8.183         0.123          48.433    
OperationGetNeighborEdgeConditional-out            13.150           17.726         0.089         109.485    
OperationGetFirstNeighbor-in                        0.318            1.889         0.096          19.116    
OperationGetAllNeighbors-in                         4.634            6.002         0.132          31.208    
OperationGetNeighborEdgeConditional-in              6.571            7.904         0.215          30.544    
OperationGetFirstNeighbor-both                      0.334            1.317         0.139          13.433    
OperationGetAllNeighbors-both                       8.860            9.760         0.189          71.278    
OperationGetNeighborEdgeConditional-both           17.643           23.844         0.246         146.499    
OperationGetManyVertexProperties-name               7.741           11.819         1.402          96.163    
OperationGetManyVertexProperties-age                4.843            9.167         1.031          79.147    
OperationGetManyEdgeProperties-time                70.825           30.252        12.949         165.390    
OperationGetManyVertexPropertySets                  4.490            4.342         1.905          33.640    
OperationGetManyEdgePropertySets                   24.846           12.417         2.405          71.700    
OperationShutdownGraph                            112.862            0.000       112.862         112.862    
