operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               4336.325            0.000      4336.325        4336.325    
OperationDoGC                                    1387.342            5.563      1378.622        1410.061    
OperationGetKHopNeighbors-out-1                     5.094            6.550         0.112          31.342    
OperationGetKHopNeighbors-out-2                    22.882           50.445         0.088         421.787    
OperationGetKHopNeighbors-out-3                   138.624          913.167         0.090        9119.889    
OperationGetKHopNeighbors-out-4                    99.331          308.571         0.075        1843.319    
OperationGetKHopNeighbors-out-5                   254.374         2329.280         0.076       23417.722    
OperationGetKHopNeighbors-in-1                      4.992            6.670         0.158          25.304    
OperationGetKHopNeighbors-in-2                     20.023           16.212         0.695         132.690    
OperationGetKHopNeighbors-in-3                     48.029           33.940         1.308         185.688    
OperationGetKHopNeighbors-in-4                     49.722           44.943         2.932         214.526    
OperationGetKHopNeighbors-in-5                     58.214           56.200         3.055         266.862    
OperationGetKHopNeighbors-both-1                    3.547            6.223         0.124          24.296    
OperationGetKHopNeighbors-both-2                   19.358           18.051         0.815         109.224    
OperationGetKHopNeighbors-both-3                  174.262          135.233        16.641         732.724    
OperationGetKHopNeighbors-both-4                  321.993          383.189        44.094        2280.463    
OperationGetKHopNeighbors-both-5                 2454.001         1977.158       405.749        9667.735    
OperationGetKHopNeighbors-out-withlabel-1           0.078            0.011         0.065           0.105    
OperationGetKHopNeighbors-out-withlabel-2           0.161            0.079         0.066           0.518    
OperationGetKHopNeighbors-out-withlabel-3           0.188            0.201         0.063           1.151    
OperationGetKHopNeighbors-out-withlabel-4           0.402            1.392         0.064          13.918    
OperationGetKHopNeighbors-out-withlabel-5           0.845            3.612         0.066          31.272    
OperationGetKHopNeighbors-in-withlabel-1            0.082            0.011         0.066           0.098    
OperationGetKHopNeighbors-in-withlabel-2            0.196            0.046         0.069           0.291    
OperationGetKHopNeighbors-in-withlabel-3            0.368            0.126         0.066           0.683    
OperationGetKHopNeighbors-in-withlabel-4            0.641            0.231         0.066           1.195    
OperationGetKHopNeighbors-in-withlabel-5            1.079            0.489         0.067           2.344    
OperationGetKHopNeighbors-both-withlabel-1          0.142            0.055         0.079           0.553    
OperationGetKHopNeighbors-both-withlabel-2          0.461            0.384         0.077           3.618    
OperationGetKHopNeighbors-both-withlabel-3          2.941            3.050         0.105          12.586    
OperationGetKHopNeighbors-both-withlabel-4         16.733           24.721         0.095         235.443    
OperationGetKHopNeighbors-both-withlabel-5         94.288           97.965         0.088         632.084    
OperationLocalClusteringCoefficient                 1.939            2.088         0.617          21.067    
OperationShutdownGraph                            258.557            0.000       258.557         258.557    
