operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                299.711            0.000       299.711         299.711    
OperationDoGC                                    2429.372          224.391      1498.389        2682.726    
OperationGetKHopNeighbors-out-1                     0.331            0.084         0.163           0.626    
OperationGetKHopNeighbors-out-2                     0.577            0.416         0.184           3.084    
OperationGetKHopNeighbors-out-3                     1.074            2.040         0.179          15.848    
OperationGetKHopNeighbors-out-4                     2.670            5.909         0.148          34.976    
OperationGetKHopNeighbors-out-5                     6.729           31.015         0.139         264.406    
OperationGetKHopNeighbors-in-1                      0.253            0.070         0.133           0.560    
OperationGetKHopNeighbors-in-2                      0.606            0.230         0.252           1.520    
OperationGetKHopNeighbors-in-3                      2.777            1.144         0.891           8.193    
OperationGetKHopNeighbors-in-4                     10.501            4.396         5.482          40.924    
OperationGetKHopNeighbors-in-5                     26.852            8.215         4.712          61.305    
OperationGetKHopNeighbors-both-1                    0.266            0.081         0.129           0.526    
OperationGetKHopNeighbors-both-2                    0.662            0.375         0.272           3.119    
OperationGetKHopNeighbors-both-3                    6.521            6.143         1.302          41.748    
OperationGetKHopNeighbors-both-4                  143.271          200.177        15.887        1277.507    
OperationGetKHopNeighbors-both-5                 2951.619         3310.319       430.817       22200.388    
OperationGetKHopNeighbors-out-withlabel-1           0.157            0.045         0.070           0.408    
OperationGetKHopNeighbors-out-withlabel-2           0.204            0.141         0.071           0.963    
OperationGetKHopNeighbors-out-withlabel-3           0.363            0.663         0.086           6.551    
OperationGetKHopNeighbors-out-withlabel-4           0.358            0.514         0.099           3.997    
OperationGetKHopNeighbors-out-withlabel-5           1.449            5.583         0.086          51.541    
OperationGetKHopNeighbors-in-withlabel-1            0.173            0.053         0.098           0.481    
OperationGetKHopNeighbors-in-withlabel-2            0.285            0.101         0.084           0.639    
OperationGetKHopNeighbors-in-withlabel-3            0.591            0.235         0.141           1.195    
OperationGetKHopNeighbors-in-withlabel-4            1.563            3.374         0.114          34.597    
OperationGetKHopNeighbors-in-withlabel-5            2.188            1.173         0.101           5.754    
OperationGetKHopNeighbors-both-withlabel-1          0.193            0.061         0.106           0.510    
OperationGetKHopNeighbors-both-withlabel-2          0.431            0.226         0.144           1.728    
OperationGetKHopNeighbors-both-withlabel-3          2.298            3.995         0.281          38.005    
OperationGetKHopNeighbors-both-withlabel-4         13.020           23.001         0.570         206.380    
OperationGetKHopNeighbors-both-withlabel-5        114.777          269.603         0.089        2463.479    
OperationShutdownGraph                           1752.402            0.000      1752.402        1752.402    
