operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                318.892            0.000       318.892         318.892    
OperationDoGC                                                    2448.672          232.565      1539.007        2708.704    
OperationGetManyVertices                                            1.148            0.000         1.148           1.148    
OperationGetManyEdges                                               0.351            0.000         0.351           0.351    
OperationGetFirstNeighbor-out                                       0.199            0.071         0.097           0.510    
OperationGetAllNeighbors-out                                        0.191            0.093         0.085           0.777    
OperationGetNeighborEdgeConditional-out                             1.025            2.885         0.083          17.190    
OperationGetFirstNeighbor-in                                        0.173            0.055         0.089           0.399    
OperationGetAllNeighbors-in                                         0.196            0.060         0.080           0.400    
OperationGetNeighborEdgeConditional-in                              0.403            0.405         0.210           4.325    
OperationGetFirstNeighbor-both                                      0.150            0.044         0.083           0.302    
OperationGetAllNeighbors-both                                       0.203            0.103         0.090           0.795    
OperationGetNeighborEdgeConditional-both                            1.576            6.258         0.209          58.664    
OperationGetFirstNeighbor-out-withlabel                             0.187            0.075         0.095           0.570    
OperationGetAllNeighbors-out-withlabel                              0.183            0.073         0.083           0.562    
OperationGetNeighborEdgeConditional-out-withlabel                   0.273            0.200         0.077           1.399    
OperationGetFirstNeighbor-in-withlabel                              0.167            0.062         0.076           0.443    
OperationGetAllNeighbors-in-withlabel                               0.152            0.039         0.082           0.298    
OperationGetNeighborEdgeConditional-in-withlabel                    0.308            0.076         0.152           0.498    
OperationGetFirstNeighbor-both-withlabel                            0.161            0.046         0.089           0.338    
OperationGetAllNeighbors-both-withlabel                             0.189            0.063         0.080           0.517    
OperationGetNeighborEdgeConditional-both-withlabel                  0.351            0.146         0.145           0.861    
OperationGetKHopNeighbors-out-1                                     0.149            0.043         0.068           0.291    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.986            3.497         0.086          24.860    
OperationGetKHopNeighbors-out-2                                     0.437            0.624         0.079           4.968    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.704            2.313         0.079          21.681    
OperationGetKHopNeighbors-out-3                                     1.645            3.479         0.085          21.294    
OperationGetKHopNeighborsEdgeConditional-out-3                      1.269            3.909         0.070          23.749    
OperationGetKHopNeighbors-out-4                                     4.487           21.248         0.033         194.680    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.888            3.028         0.020          20.373    
OperationGetKHopNeighbors-out-5                                     4.871           18.016         0.029         161.421    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.858            2.847         0.018          19.668    
OperationGetKHopNeighbors-in-1                                      0.071            0.035         0.034           0.261    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.279            0.087         0.140           0.555    
