"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","4.73296947E8","0.0","4.73296947E8","4.73296947E8"
"OperationDoGC","2.443145204912088E9","2.4341524861221728E8","1.524841227E9","2.744678947E9"
"OperationGetManyVertices","762669.0","0.0","762669.0","762669.0"
"OperationGetManyEdges","688283.0","0.0","688283.0","688283.0"
"OperationGetFirstNeighbor-out","244600.87","79546.21657686241","111641.0","544542.0"
"OperationGetAllNeighbors-out","263683.02","90199.28106609054","104208.0","716422.0"
"OperationGetNeighborEdgeConditional-out","3.731909382E7","5.376018469904104E7","108912.0","2.87160777E8"
"OperationGetFirstNeighbor-in","248755.7","88089.45960516502","117019.0","544629.0"
"OperationGetAllNeighbors-in","223988.03","79138.29491939471","112562.0","527522.0"
"OperationGetNeighborEdgeConditional-in","7876219.32","3154757.8779306025","766323.0","2.0139879E7"
"OperationGetFirstNeighbor-both","206110.45","65163.915531431194","82700.0","454667.0"
"OperationGetAllNeighbors-both","199654.76","66583.0878358942","105296.0","586162.0"
"OperationGetNeighborEdgeConditional-both","4.573910273E7","5.514563266102037E7","1017285.0","4.24663236E8"
"OperationGetFirstNeighbor-out-withlabel","206732.32","57830.67435900778","91416.0","385396.0"
"OperationGetAllNeighbors-out-withlabel","212891.66","72194.291617443","94102.0","507372.0"
"OperationGetNeighborEdgeConditional-out-withlabel","3.811917866E7","4.809824202068313E7","81491.0","2.90733608E8"
"OperationGetFirstNeighbor-in-withlabel","183564.48","66879.0925940955","87447.0","442595.0"
"OperationGetAllNeighbors-in-withlabel","221308.72","82441.53397118227","95643.0","698054.0"
"OperationGetNeighborEdgeConditional-in-withlabel","8184547.92","3918841.6587242326","2941051.0","2.7350363E7"
"OperationGetFirstNeighbor-both-withlabel","199699.63","58673.870844977486","87124.0","466114.0"
"OperationGetAllNeighbors-both-withlabel","198754.6","56075.16488321723","96620.0","360944.0"
"OperationGetNeighborEdgeConditional-both-withlabel","3.918342352E7","5.8874808865351334E7","2302147.0","3.9143425E8"
"OperationGetKHopNeighbors-out-1","173867.54","67778.75285447793","79063.0","487230.0"
"OperationGetKHopNeighborsEdgeConditional-out-1","3.981198058E7","4.870482353361968E7","77061.0","3.25502934E8"
"OperationGetKHopNeighbors-out-2","495535.45","601807.6818554307","94943.0","3527782.0"
"OperationGetKHopNeighborsEdgeConditional-out-2","3.714777618E7","4.393982505952977E7","75460.0","2.11433029E8"
"OperationGetKHopNeighbors-out-3","1190903.1","1997859.4388758466","95277.0","1.3640903E7"
"OperationGetKHopNeighborsEdgeConditional-out-3","4.671897527E7","6.31825585484099E7","76527.0","3.30821568E8"
"OperationGetKHopNeighbors-out-4","4812573.86","1.5675249676108615E7","106097.0","1.42324421E8"
"OperationGetKHopNeighborsEdgeConditional-out-4","6.446999464E7","9.766008501381034E7","69534.0","6.27625412E8"
"OperationGetKHopNeighbors-out-5","1.628184991E7","6.0424264377753735E7","41916.0","4.29894635E8"
"OperationGetKHopNeighborsEdgeConditional-out-5","4.89476538E7","6.71945533283453E7","25090.0","3.8828351E8"
"OperationGetKHopNeighbors-in-1","109054.07","63947.75811304959","39506.0","421201.0"
"OperationGetKHopNeighborsEdgeConditional-in-1","7975678.87","3590440.478032793","134510.0","1.9264906E7"
"OperationGetKHopNeighbors-in-2","577059.17","287268.7857063853","177694.0","2028812.0"
"OperationGetKHopNeighborsEdgeConditional-in-2","1.554964371E7","5619128.865964553","4700695.0","3.3929066E7"
"OperationGetKHopNeighbors-in-3","4521757.24","4352295.063441527","1516875.0","3.3897341E7"
"OperationGetKHopNeighborsEdgeConditional-in-3","2.157016671E7","7310129.164284084","8610043.0","4.3254777E7"
