operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                473.297            0.000       473.297         473.297    
OperationDoGC                                                    2443.145          243.415      1524.841        2744.679    
OperationGetManyVertices                                            0.763            0.000         0.763           0.763    
OperationGetManyEdges                                               0.688            0.000         0.688           0.688    
OperationGetFirstNeighbor-out                                       0.245            0.080         0.112           0.545    
OperationGetAllNeighbors-out                                        0.264            0.090         0.104           0.716    
OperationGetNeighborEdgeConditional-out                            37.319           53.760         0.109         287.161    
OperationGetFirstNeighbor-in                                        0.249            0.088         0.117           0.545    
OperationGetAllNeighbors-in                                         0.224            0.079         0.113           0.528    
OperationGetNeighborEdgeConditional-in                              7.876            3.155         0.766          20.140    
OperationGetFirstNeighbor-both                                      0.206            0.065         0.083           0.455    
OperationGetAllNeighbors-both                                       0.200            0.067         0.105           0.586    
OperationGetNeighborEdgeConditional-both                           45.739           55.146         1.017         424.663    
OperationGetFirstNeighbor-out-withlabel                             0.207            0.058         0.091           0.385    
OperationGetAllNeighbors-out-withlabel                              0.213            0.072         0.094           0.507    
OperationGetNeighborEdgeConditional-out-withlabel                  38.119           48.098         0.081         290.734    
OperationGetFirstNeighbor-in-withlabel                              0.184            0.067         0.087           0.443    
OperationGetAllNeighbors-in-withlabel                               0.221            0.082         0.096           0.698    
OperationGetNeighborEdgeConditional-in-withlabel                    8.185            3.919         2.941          27.350    
OperationGetFirstNeighbor-both-withlabel                            0.200            0.059         0.087           0.466    
OperationGetAllNeighbors-both-withlabel                             0.199            0.056         0.097           0.361    
OperationGetNeighborEdgeConditional-both-withlabel                 39.183           58.875         2.302         391.434    
OperationGetKHopNeighbors-out-1                                     0.174            0.068         0.079           0.487    
OperationGetKHopNeighborsEdgeConditional-out-1                     39.812           48.705         0.077         325.503    
OperationGetKHopNeighbors-out-2                                     0.496            0.602         0.095           3.528    
OperationGetKHopNeighborsEdgeConditional-out-2                     37.148           43.940         0.075         211.433    
OperationGetKHopNeighbors-out-3                                     1.191            1.998         0.095          13.641    
OperationGetKHopNeighborsEdgeConditional-out-3                     46.719           63.183         0.077         330.822    
OperationGetKHopNeighbors-out-4                                     4.813           15.675         0.106         142.324    
OperationGetKHopNeighborsEdgeConditional-out-4                     64.470           97.660         0.070         627.625    
OperationGetKHopNeighbors-out-5                                    16.282           60.424         0.042         429.895    
OperationGetKHopNeighborsEdgeConditional-out-5                     48.948           67.195         0.025         388.284    
OperationGetKHopNeighbors-in-1                                      0.109            0.064         0.040           0.421    
OperationGetKHopNeighborsEdgeConditional-in-1                       7.976            3.590         0.135          19.265    
OperationGetKHopNeighbors-in-2                                      0.577            0.287         0.178           2.029    
OperationGetKHopNeighborsEdgeConditional-in-2                      15.550            5.619         4.701          33.929    
OperationGetKHopNeighbors-in-3                                      4.522            4.352         1.517          33.897    
OperationGetKHopNeighborsEdgeConditional-in-3                      21.570            7.310         8.610          43.255    
OperationGetKHopNeighbors-in-4                                     21.762           14.663         9.136          90.512    
OperationGetKHopNeighborsEdgeConditional-in-4                      27.106            8.958        14.007          83.513    
OperationGetKHopNeighbors-in-5                                     63.389           16.080        39.706         136.949    
OperationGetKHopNeighborsEdgeConditional-in-5                      32.759           13.642         7.166          94.400    
OperationGetKHopNeighbors-both-1                                    0.115            0.164         0.050           1.693    
OperationGetKHopNeighborsEdgeConditional-both-1                    39.286           37.109         5.093         256.950    
OperationGetKHopNeighbors-both-2                                    0.684            0.362         0.191           2.358    
OperationGetKHopNeighborsEdgeConditional-both-2                   111.353          102.612         7.306         667.966    
OperationGetKHopNeighbors-both-3                                    9.310           10.442         1.826          91.256    
OperationGetKHopNeighborsEdgeConditional-both-3                   149.894          209.871         0.659        1885.718    
OperationGetKHopNeighbors-both-4                                  124.394          135.211        21.485         929.208    
OperationGetKHopNeighborsEdgeConditional-both-4                   215.489          366.922        13.038        2648.066    
OperationGetKHopNeighbors-both-5                                 3623.485         5286.097       312.245       42533.613    
OperationGetKHopNeighborsEdgeConditional-both-5                   182.957          203.115        22.499        1501.631    
OperationGetKHopNeighbors-out-withlabel-1                           0.110            0.049         0.019           0.447    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1           29.962           37.563         0.049         264.536    
OperationGetKHopNeighbors-out-withlabel-2                           0.345            0.400         0.068           2.457    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2           49.160           57.870         0.049         243.154    
OperationGetKHopNeighbors-out-withlabel-3                           1.053            2.481         0.051          18.241    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3           50.785           61.920         0.018         318.840    
OperationGetKHopNeighbors-out-withlabel-4                           2.076            6.380         0.052          51.945    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4           51.653           57.692         0.050         263.152    
OperationGetKHopNeighbors-out-withlabel-5                           6.218           20.104         0.052         151.177    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5           56.911           76.619         0.013         568.911    
OperationGetKHopNeighbors-in-withlabel-1                            0.106            0.048         0.033           0.334    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             9.313            8.823         0.138          86.563    
OperationGetKHopNeighbors-in-withlabel-2                            0.628            1.155         0.183          12.002    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2            14.391            6.412         0.967          31.604    
OperationGetKHopNeighbors-in-withlabel-3                            3.455            5.044         1.065          51.257    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3            19.113            7.918         0.250          39.791    
OperationGetKHopNeighbors-in-withlabel-4                           13.966            5.588         6.829          61.536    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4            25.358            8.877         0.291          60.987    
OperationGetKHopNeighbors-in-withlabel-5                           54.748           14.316        35.730         128.348    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5            26.765           12.468         1.220          75.205    
OperationGetKHopNeighbors-both-withlabel-1                          0.098            0.048         0.053           0.438    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1          47.309           75.149         2.841         661.379    
OperationGetKHopNeighbors-both-withlabel-2                          0.613            0.413         0.161           2.519    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2         103.333           96.638         8.813         709.754    
OperationGetKHopNeighbors-both-withlabel-3                          8.628            8.422         1.191          62.507    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3         145.217          136.712        15.731         882.314    
OperationGetKHopNeighbors-both-withlabel-4                        158.347          233.803        19.053        1336.119    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4         151.310          143.157        17.878         992.139    
OperationGetKHopNeighbors-both-withlabel-5                       2672.884         2261.153       427.751       14960.927    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5         200.494          508.113        26.112        5055.812    
OperationGetManyVertexProperties-name                             678.184            0.000       678.184         678.184    
OperationGetManyVertexProperties-age                              675.911            0.000       675.911         675.911    
OperationGetManyEdgeProperties-time                               635.557            0.000       635.557         635.557    
OperationGetManyVertexPropertySets                                651.686            0.000       651.686         651.686    
OperationGetManyEdgePropertySets                                  663.345            0.000       663.345         663.345    
OperationGetVerticesUsingKeyIndex-_original_id                     44.996          100.192         2.388        1021.380    
OperationGetVerticesUsingKeyIndex-name                            329.720          274.628        46.042        1391.265    
OperationGetVerticesUsingKeyIndex-age                            2132.731          645.204      1360.062        5769.273    
OperationGetEdgesUsingKeyIndex-time                             44572.920         1598.054     42301.361       49668.499    
OperationShutdownGraph                                           3358.588            0.000      3358.588        3358.588    
