operation                           neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                        276.053            0.000       276.053         276.053    
OperationDoGC                            2422.147          252.327      1508.714        2706.199    
OperationGetKHopNeighbors-out-1             8.456            9.232         0.222          49.350    
OperationGetKHopNeighbors-out-2            37.516           72.197         0.208         571.166    
OperationGetKHopNeighbors-out-3           177.360          655.611         0.153        6141.723    
OperationGetKHopNeighbors-out-4           884.505         4725.167         0.141       35539.620    
OperationGetKHopNeighbors-out-5          3083.335        28694.637         0.136      288432.321    
OperationGetKHopNeighbors-in-1              2.130            6.149         0.107          33.699    
OperationGetKHopNeighbors-in-2             27.000           31.935         0.292         139.303    
OperationGetKHopNeighbors-in-3            100.574           84.475         2.050         515.099    
OperationGetKHopNeighbors-in-4            140.276          123.263        13.018         932.157    
OperationGetKHopNeighbors-in-5            102.676           42.306        49.756         314.890    
OperationGetKHopNeighbors-both-1            0.252            0.076         0.138           0.575    
OperationGetKHopNeighbors-both-2            1.111            1.565         0.337          15.460    
OperationGetKHopNeighbors-both-3           14.256           38.490         2.666         385.202    
OperationGetKHopNeighbors-both-4          191.745          306.131        22.994        2004.574    
OperationGetKHopNeighbors-both-5        22645.944        10063.348     12582.596       32709.292    
