operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                               1021.642            0.000      1021.642        1021.642    
OperationDoGC                                    2158.698          210.980      1524.101        2298.936    
OperationGetManyVertices                           45.713           19.892         0.613          89.080    
OperationGetManyEdges                              11.982           10.909         0.300          66.752    
OperationGetFirstNeighbor-out                       2.540            7.206         0.171          61.569    
OperationGetAllNeighbors-out                        1.803            5.227         0.168          38.171    
OperationGetNeighborEdgeConditional-out            41.046           50.636         0.125         250.053    
OperationGetFirstNeighbor-in                        3.472            9.107         0.150          67.263    
OperationGetAllNeighbors-in                         3.782           10.585         0.160          85.239    
OperationGetNeighborEdgeConditional-in             19.616           15.169         1.012         125.455    
OperationGetFirstNeighbor-both                      2.813            9.072         0.150          60.748    
OperationGetAllNeighbors-both                       1.952            6.958         0.143          53.611    
OperationGetNeighborEdgeConditional-both           52.091           50.659         4.972         274.691    
OperationGetManyVertexProperties-name             663.899           53.127       536.712         812.231    
OperationGetManyVertexProperties-age              543.251           55.694       429.559         693.917    
OperationGetManyEdgeProperties-time               795.163           48.284       673.189         907.444    
OperationGetManyVertexPropertySets                406.708           69.490       256.673         671.474    
OperationGetManyEdgePropertySets                  857.611           46.584       745.787         969.489    
OperationShutdownGraph                           2359.879            0.000      2359.879        2359.879    
