operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                438.364            0.000       438.364         438.364    
OperationDoGC                                                    2451.203          239.978      1521.086        2717.098    
OperationGetManyVertices                                            0.759            0.000         0.759           0.759    
OperationGetManyEdges                                               0.580            0.000         0.580           0.580    
OperationGetFirstNeighbor-out                                       0.245            0.100         0.104           0.876    
OperationGetAllNeighbors-out                                        0.192            0.068         0.088           0.517    
OperationGetNeighborEdgeConditional-out                            37.631           60.857         0.088         467.997    
OperationGetFirstNeighbor-in                                        0.202            0.068         0.100           0.498    
OperationGetAllNeighbors-in                                         0.203            0.088         0.099           0.699    
OperationGetNeighborEdgeConditional-in                             15.824            5.927         3.593          42.537    
OperationGetFirstNeighbor-both                                      0.202            0.081         0.089           0.704    
OperationGetAllNeighbors-both                                       0.218            0.079         0.095           0.695    
OperationGetNeighborEdgeConditional-both                           60.832           60.507         3.208         290.074    
OperationGetFirstNeighbor-out-withlabel                             0.175            0.056         0.091           0.398    
OperationGetAllNeighbors-out-withlabel                              0.177            0.055         0.087           0.383    
OperationGetNeighborEdgeConditional-out-withlabel                  18.469           26.505         0.084         190.570    
OperationGetFirstNeighbor-in-withlabel                              0.187            0.064         0.090           0.550    
OperationGetAllNeighbors-in-withlabel                               0.189            0.121         0.102           1.231    
OperationGetNeighborEdgeConditional-in-withlabel                    8.923            5.291         0.140          33.566    
OperationGetFirstNeighbor-both-withlabel                            0.194            0.050         0.096           0.339    
OperationGetAllNeighbors-both-withlabel                             0.200            0.074         0.089           0.541    
OperationGetNeighborEdgeConditional-both-withlabel                 23.501           22.258         2.432         167.741    
OperationGetKHopNeighbors-out-1                                     0.203            0.074         0.084           0.471    
OperationGetKHopNeighborsEdgeConditional-out-1                     29.460           29.131         0.097         132.872    
OperationGetKHopNeighbors-out-2                                     0.518            0.520         0.093           2.867    
OperationGetKHopNeighborsEdgeConditional-out-2                     49.065           63.770         0.072         358.754    
OperationGetKHopNeighbors-out-3                                     3.998           21.782         0.087         218.133    
OperationGetKHopNeighborsEdgeConditional-out-3                     49.915           59.474         0.076         313.015    
OperationGetKHopNeighbors-out-4                                    18.576          154.008         0.049        1547.415    
OperationGetKHopNeighborsEdgeConditional-out-4                     45.778           56.129         0.048         311.440    
OperationGetKHopNeighbors-out-5                                     7.880           21.692         0.060         137.536    
OperationGetKHopNeighborsEdgeConditional-out-5                     55.168           65.300         0.053         260.783    
OperationGetKHopNeighbors-in-1                                      0.111            0.041         0.029           0.317    
OperationGetKHopNeighborsEdgeConditional-in-1                      16.788            5.930         3.322          41.172    
OperationGetKHopNeighbors-in-2                                      1.165            5.164         0.216          52.356    
OperationGetKHopNeighborsEdgeConditional-in-2                      33.802           14.689        14.233          89.843    
OperationGetKHopNeighbors-in-3                                      4.944            6.923         1.155          63.760    
OperationGetKHopNeighborsEdgeConditional-in-3                      44.079           12.627        13.959          93.045    
OperationGetKHopNeighbors-in-4                                     19.827           10.794         8.380          75.128    
OperationGetKHopNeighborsEdgeConditional-in-4                      54.421           14.296        17.750         103.910    
OperationGetKHopNeighbors-in-5                                     62.324           19.154        26.748         132.326    
OperationGetKHopNeighborsEdgeConditional-in-5                      61.396           21.045         8.930         146.199    
OperationGetKHopNeighbors-both-1                                    0.116            0.063         0.053           0.431    
OperationGetKHopNeighborsEdgeConditional-both-1                    49.725           41.304         7.071         288.160    
OperationGetKHopNeighbors-both-2                                    0.644            0.480         0.187           3.425    
OperationGetKHopNeighborsEdgeConditional-both-2                   126.362           84.493        22.634         446.590    
OperationGetKHopNeighbors-both-3                                    9.585           13.180         1.529         128.215    
OperationGetKHopNeighborsEdgeConditional-both-3                   177.724          192.116        24.826        1346.000    
OperationGetKHopNeighbors-both-4                                  162.471          208.827        15.319        1297.365    
OperationGetKHopNeighborsEdgeConditional-both-4                   176.050          167.833        28.169        1116.448    
