operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                                 91.364            0.000        91.364          91.364    
OperationDoGC                                                    1403.617           11.792      1395.960        1511.628    
OperationGetManyVertices                                            0.117            0.000         0.117           0.117    
OperationGetManyEdges                                               0.173            0.000         0.173           0.173    
OperationGetFirstNeighbor-out                                       0.097            0.019         0.069           0.192    
OperationGetAllNeighbors-out                                        0.093            0.011         0.072           0.146    
OperationGetNeighborEdgeConditional-out                             0.139            0.047         0.066           0.290    
OperationGetFirstNeighbor-in                                        0.092            0.017         0.067           0.159    
OperationGetAllNeighbors-in                                         0.098            0.016         0.070           0.144    
OperationGetNeighborEdgeConditional-in                              0.136            0.024         0.100           0.213    
OperationGetFirstNeighbor-both                                      0.119            0.020         0.086           0.177    
OperationGetAllNeighbors-both                                       0.125            0.019         0.088           0.190    
OperationGetNeighborEdgeConditional-both                            0.180            0.046         0.114           0.357    
OperationGetFirstNeighbor-out-withlabel                             0.091            0.014         0.068           0.143    
OperationGetAllNeighbors-out-withlabel                              0.093            0.013         0.070           0.146    
OperationGetNeighborEdgeConditional-out-withlabel                   0.134            0.049         0.066           0.397    
OperationGetFirstNeighbor-in-withlabel                              0.092            0.017         0.074           0.146    
OperationGetAllNeighbors-in-withlabel                               0.105            0.018         0.077           0.162    
OperationGetNeighborEdgeConditional-in-withlabel                    0.145            0.022         0.103           0.195    
OperationGetFirstNeighbor-both-withlabel                            0.129            0.019         0.089           0.174    
OperationGetAllNeighbors-both-withlabel                             0.123            0.019         0.094           0.188    
OperationGetNeighborEdgeConditional-both-withlabel                  0.176            0.039         0.122           0.322    
OperationGetKHopNeighbors-out-1                                     0.100            0.019         0.072           0.159    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.111            0.034         0.056           0.308    
OperationGetKHopNeighbors-out-2                                     0.163            0.125         0.074           1.134    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.122            0.046         0.056           0.322    
OperationGetKHopNeighbors-out-3                                     0.286            0.411         0.074           3.414    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.136            0.050         0.056           0.266    
OperationGetKHopNeighbors-out-4                                     0.427            0.904         0.074           5.939    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.141            0.058         0.057           0.466    
OperationGetKHopNeighbors-out-5                                     0.787            1.310         0.073           7.378    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.127            0.052         0.057           0.358    
OperationGetKHopNeighbors-in-1                                      0.108            0.016         0.079           0.184    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.111            0.020         0.084           0.168    
OperationGetKHopNeighbors-in-2                                      0.171            0.027         0.111           0.223    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.139            0.029         0.101           0.293    
OperationGetKHopNeighbors-in-3                                      0.317            0.088         0.146           0.472    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.166            0.034         0.105           0.252    
OperationGetKHopNeighbors-in-4                                      0.648            0.281         0.127           1.250    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.185            0.045         0.056           0.267    
OperationGetKHopNeighbors-in-5                                      0.808            0.441         0.139           1.867    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.194            0.051         0.069           0.297    
OperationGetKHopNeighbors-both-1                                    0.133            0.021         0.092           0.179    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.152            0.033         0.099           0.269    
OperationGetKHopNeighbors-both-2                                    0.407            0.165         0.187           0.951    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.225            0.067         0.126           0.449    
OperationGetKHopNeighbors-both-3                                    3.220            2.014         0.859          11.548    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.279            0.086         0.148           0.573    
