operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                                 36.887            0.000        36.887          36.887    
OperationDoGC                                                    1428.854           23.227      1418.982        1625.833    
OperationGetManyVertices                                            0.100            0.027         0.057           0.158    
OperationGetManyEdges                                               0.113            0.026         0.060           0.185    
OperationGetFirstNeighbor-out                                       0.092            0.016         0.068           0.131    
OperationGetAllNeighbors-out                                        0.094            0.016         0.069           0.174    
OperationGetNeighborEdgeConditional-out                             0.138            0.055         0.071           0.561    
OperationGetFirstNeighbor-in                                        0.093            0.016         0.073           0.133    
OperationGetAllNeighbors-in                                         0.096            0.012         0.071           0.139    
OperationGetNeighborEdgeConditional-in                              0.123            0.023         0.092           0.184    
OperationGetFirstNeighbor-both                                      0.103            0.017         0.084           0.174    
OperationGetAllNeighbors-both                                       0.119            0.020         0.087           0.180    
OperationGetNeighborEdgeConditional-both                            0.174            0.045         0.105           0.367    
OperationGetFirstNeighbor-out-withlabel                             0.100            0.011         0.074           0.179    
OperationGetAllNeighbors-out-withlabel                              0.102            0.016         0.077           0.171    
OperationGetNeighborEdgeConditional-out-withlabel                   0.122            0.032         0.070           0.223    
OperationGetFirstNeighbor-in-withlabel                              0.088            0.013         0.072           0.151    
OperationGetAllNeighbors-in-withlabel                               0.098            0.016         0.077           0.148    
OperationGetNeighborEdgeConditional-in-withlabel                    0.137            0.023         0.100           0.216    
OperationGetFirstNeighbor-both-withlabel                            0.114            0.018         0.091           0.170    
OperationGetAllNeighbors-both-withlabel                             0.126            0.016         0.094           0.166    
OperationGetNeighborEdgeConditional-both-withlabel                  0.188            0.049         0.118           0.445    
OperationGetKHopNeighbors-out-1                                     0.088            0.016         0.064           0.132    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.108            0.042         0.055           0.407    
OperationGetKHopNeighbors-out-2                                     0.152            0.076         0.066           0.505    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.143            0.049         0.067           0.344    
