operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                 80.835            0.000        80.835          80.835    
OperationDoGC                                    1383.483            6.575      1378.341        1413.728    
OperationGetKHopNeighbors-out-1                     0.082            0.017         0.060           0.143    
OperationGetKHopNeighbors-out-2                     0.147            0.078         0.060           0.506    
OperationGetKHopNeighbors-out-3                     0.300            0.407         0.059           2.483    
OperationGetKHopNeighbors-out-4                     0.699            1.433         0.064           8.539    
OperationGetKHopNeighbors-in-1                      0.085            0.019         0.061           0.147    
OperationGetKHopNeighbors-in-2                      0.149            0.034         0.075           0.254    
OperationGetKHopNeighbors-in-3                      0.306            0.075         0.143           0.450    
OperationGetKHopNeighbors-in-4                      0.391            0.160         0.059           0.821    
OperationGetKHopNeighbors-both-1                    0.112            0.020         0.077           0.199    
OperationGetKHopNeighbors-both-2                    0.294            0.098         0.193           0.758    
OperationGetKHopNeighbors-both-3                    2.163            1.191         0.725           7.103    
OperationGetKHopNeighbors-both-4                    8.457            2.534         3.218          15.165    
OperationGetKHopNeighbors-out-withlabel-1           0.091            0.015         0.064           0.145    
OperationGetKHopNeighbors-out-withlabel-2           0.146            0.061         0.065           0.516    
OperationGetKHopNeighbors-out-withlabel-3           0.290            0.401         0.064           3.089    
OperationGetKHopNeighbors-out-withlabel-4           0.610            0.984         0.063           5.497    
OperationGetKHopNeighbors-in-withlabel-1            0.078            0.011         0.064           0.127    
OperationGetKHopNeighbors-in-withlabel-2            0.187            0.030         0.116           0.257    
OperationGetKHopNeighbors-in-withlabel-3            0.290            0.083         0.087           0.464    
OperationGetKHopNeighbors-in-withlabel-4            0.489            0.168         0.062           0.857    
OperationGetKHopNeighbors-both-withlabel-1          0.106            0.019         0.082           0.188    
OperationGetKHopNeighbors-both-withlabel-2          0.371            0.143         0.194           1.004    
OperationGetKHopNeighbors-both-withlabel-3          1.706            1.144         0.509           7.528    
OperationGetKHopNeighbors-both-withlabel-4          8.266            2.228         2.875          14.249    
OperationLocalClusteringCoefficient                 0.398            0.139         0.206           0.884    
OperationShutdownGraph                            187.511            0.000       187.511         187.511    
