"id","name","type","args","time","result","memory","gccount","gctime"
"0","OperationOpenGraph","com.tinkerpop.bench.operation.OperationOpenGraph","[DEFAULT]","84185684","DONE","465480","0","0"
"2","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1358621339","DONE","21037447","8","0"
"3","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1364953597","DONE","21044943","8","1"
"1","OperationCreateKeyIndex-vertex-name","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, name]","9817650","DONE","21510367","0","0"
"5","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1380493143","DONE","21043623","8","0"
"6","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1372375576","DONE","21043583","8","0"
"4","OperationCreateKeyIndex-vertex-age","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[vertex, age]","2400156","DONE","21509007","0","0"
"8","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1380136336","DONE","21043943","8","1"
"9","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1375944481","DONE","21043903","8","0"
"7","OperationCreateKeyIndex-edge-time","com.tinkerpop.bench.operation.operations.OperationCreateKeyIndex","[edge, time]","10777515","DONE","21509327","0","0"
"10","OperationShutdownGraph","com.tinkerpop.bench.operation.OperationShutdownGraph","[]","287649132","DONE","21509327","0","0"
"11","OperationDoGC","com.tinkerpop.bench.operation.OperationDoGC","[]","1384905929","DONE","21043967","8","0"
