operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                               2468.654            0.000      2468.654        2468.654    
OperationDoGC                                                    1421.905           61.783      1407.651        2004.738    
OperationGetManyVertices                                            0.255            0.000         0.255           0.255    
OperationGetManyEdges                                               0.346            0.000         0.346           0.346    
OperationGetFirstNeighbor-out                                       0.133            0.017         0.095           0.187    
OperationGetAllNeighbors-out                                        0.125            0.018         0.098           0.178    
OperationGetNeighborEdgeConditional-out                             0.196            0.038         0.137           0.291    
OperationGetFirstNeighbor-in                                        0.122            0.018         0.098           0.195    
OperationGetAllNeighbors-in                                         0.125            0.020         0.100           0.212    
OperationGetNeighborEdgeConditional-in                              0.286            0.069         0.166           0.504    
OperationGetFirstNeighbor-both                                      0.199            0.026         0.146           0.246    
OperationGetAllNeighbors-both                                       0.205            0.027         0.139           0.264    
OperationGetNeighborEdgeConditional-both                            0.433            0.074         0.265           0.606    
OperationGetFirstNeighbor-out-withlabel                             0.132            0.022         0.080           0.207    
OperationGetAllNeighbors-out-withlabel                              0.137            0.022         0.102           0.208    
OperationGetNeighborEdgeConditional-out-withlabel                   0.245            0.042         0.152           0.341    
OperationGetFirstNeighbor-in-withlabel                              0.139            0.023         0.105           0.203    
OperationGetAllNeighbors-in-withlabel                               0.135            0.020         0.107           0.188    
OperationGetNeighborEdgeConditional-in-withlabel                    0.349            0.094         0.151           0.655    
OperationGetFirstNeighbor-both-withlabel                            0.211            0.033         0.130           0.274    
OperationGetAllNeighbors-both-withlabel                             0.200            0.033         0.141           0.316    
OperationGetNeighborEdgeConditional-both-withlabel                  0.456            0.100         0.245           0.680    
OperationGetKHopNeighbors-out-1                                     0.138            0.024         0.090           0.232    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.200            0.041         0.131           0.304    
OperationGetKHopNeighbors-out-2                                     0.472            0.208         0.133           1.301    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.284            0.068         0.178           0.446    
OperationGetKHopNeighbors-out-3                                     1.949            0.914         0.097           4.560    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.457            0.066         0.091           0.591    
OperationGetKHopNeighbors-out-4                                     6.637            3.582         0.100          17.294    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.522            0.135         0.089           0.721    
OperationGetKHopNeighbors-out-5                                    19.148            8.729         0.103          46.144    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.598            0.146         0.221           1.036    
OperationGetKHopNeighbors-in-1                                      0.157            0.026         0.108           0.237    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.274            0.072         0.159           0.547    
OperationGetKHopNeighbors-in-2                                      0.451            0.167         0.176           1.041    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.383            0.099         0.201           0.623    
OperationGetKHopNeighbors-in-3                                      2.063            0.965         0.112           4.481    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.607            0.123         0.340           0.836    
OperationGetKHopNeighbors-in-4                                      6.602            2.940         1.161          17.533    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.756            0.162         0.290           1.505    
OperationGetKHopNeighbors-in-5                                     20.268            7.280         3.330          39.015    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.779            0.177         0.341           1.117    
OperationGetKHopNeighbors-both-1                                    0.156            0.022         0.108           0.212    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.335            0.085         0.184           0.549    
OperationGetKHopNeighbors-both-2                                    0.606            0.196         0.281           1.118    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.586            0.112         0.312           0.803    
OperationGetKHopNeighbors-both-3                                    7.837            2.121         2.525          15.119    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.662            0.173         0.342           1.041    
OperationGetKHopNeighbors-both-4                                   62.793           17.229        35.750         130.914    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.804            0.196         0.394           1.240    
OperationGetKHopNeighbors-both-5                                  840.236          213.843       339.683        1311.808    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.862            0.215         0.411           1.228    
OperationGetKHopNeighbors-out-withlabel-1                           0.103            0.015         0.080           0.154    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.181            0.035         0.098           0.266    
OperationGetKHopNeighbors-out-withlabel-2                           0.249            0.079         0.100           0.469    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.256            0.060         0.090           0.407    
OperationGetKHopNeighbors-out-withlabel-3                           0.866            0.379         0.119           1.945    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.311            0.071         0.118           0.451    
OperationGetKHopNeighbors-out-withlabel-4                           4.843            2.484         0.396          11.511    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.395            0.114         0.085           0.656    
OperationGetKHopNeighbors-out-withlabel-5                          19.335            7.694         0.097          46.151    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.416            0.133         0.067           0.725    
OperationGetKHopNeighbors-in-withlabel-1                            0.100            0.014         0.081           0.142    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.231            0.047         0.110           0.346    
OperationGetKHopNeighbors-in-withlabel-2                            0.244            0.075         0.115           0.430    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.319            0.082         0.175           0.520    
OperationGetKHopNeighbors-in-withlabel-3                            0.853            0.374         0.116           1.745    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.460            0.085         0.256           0.691    
OperationGetKHopNeighbors-in-withlabel-4                            4.738            2.159         0.594          11.081    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.563            0.133         0.335           0.892    
OperationGetKHopNeighbors-in-withlabel-5                           21.025            7.596         4.264          41.051    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.685            0.134         0.432           0.953    
OperationGetKHopNeighbors-both-withlabel-1                          0.140            0.025         0.108           0.206    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.302            0.061         0.176           0.464    
OperationGetKHopNeighbors-both-withlabel-2                          0.746            0.209         0.322           1.245    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.477            0.119         0.284           0.743    
OperationGetKHopNeighbors-both-withlabel-3                          7.787            2.209         3.006          14.179    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.577            0.148         0.307           0.897    
OperationGetKHopNeighbors-both-withlabel-4                         62.425           15.166        20.652          95.529    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.649            0.171         0.368           1.054    
OperationGetKHopNeighbors-both-withlabel-5                        832.599          257.320       202.567        1724.175    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.802            0.169         0.387           1.134    
OperationGetManyVertexProperties-name                               5.489            0.000         5.489           5.489    
OperationGetManyVertexProperties-age                                4.489            0.000         4.489           4.489    
OperationGetManyEdgeProperties-time                                 3.258            0.000         3.258           3.258    
OperationGetManyVertexPropertySets                                  9.072            0.000         9.072           9.072    
OperationGetManyEdgePropertySets                                    3.338            0.000         3.338           3.338    
OperationGetVerticesUsingKeyIndex-_original_id                      0.185            0.015         0.144           0.238    
OperationGetVerticesUsingKeyIndex-name                              0.665            3.078         0.162          22.962    
OperationGetVerticesUsingKeyIndex-age                               7.015            5.575         2.094          30.627    
OperationGetEdgesUsingKeyIndex-time                                 7.837            7.575         0.803          45.125    
OperationGetShortestPath                                        18047.640         8644.091       139.303       31428.924    
OperationLocalClusteringCoefficient                                 1.050            0.351         0.421           2.079    
OperationShutdownGraph                                            155.404            0.000       155.404         155.404    
