operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               2465.793            0.000      2465.793        2465.793    
OperationDoGC                                    1388.561            5.364      1381.061        1409.198    
OperationGetKHopNeighbors-out-1                     0.120            0.018         0.092           0.163    
OperationGetKHopNeighbors-out-2                     0.399            0.155         0.098           0.838    
OperationGetKHopNeighbors-out-3                     2.174            0.981         0.087           5.515    
OperationGetKHopNeighbors-out-4                     7.844            3.250         1.129          15.173    
OperationGetKHopNeighbors-out-5                    24.182            9.439         7.838          47.888    
OperationGetKHopNeighbors-in-1                      0.126            0.019         0.096           0.187    
OperationGetKHopNeighbors-in-2                      0.521            0.175         0.226           0.938    
OperationGetKHopNeighbors-in-3                      2.446            1.186         0.572           6.991    
OperationGetKHopNeighbors-in-4                      8.488            3.117         1.876          16.046    
OperationGetKHopNeighbors-in-5                     28.319           11.746         1.531          63.591    
OperationGetKHopNeighbors-both-1                    0.132            0.022         0.097           0.189    
OperationGetKHopNeighbors-both-2                    0.911            0.295         0.379           1.509    
OperationGetKHopNeighbors-both-3                    9.639            2.502         4.416          19.376    
OperationGetKHopNeighbors-both-4                   77.459           19.441        33.522         122.225    
OperationGetKHopNeighbors-both-5                  598.187          159.722       268.532        1107.607    
OperationGetKHopNeighbors-out-withlabel-1           0.097            0.014         0.079           0.146    
OperationGetKHopNeighbors-out-withlabel-2           0.316            0.096         0.119           0.582    
OperationGetKHopNeighbors-out-withlabel-3           1.460            0.720         0.103           3.688    
OperationGetKHopNeighbors-out-withlabel-4           6.497            3.243         0.090          15.256    
OperationGetKHopNeighbors-out-withlabel-5          23.929            9.930         0.082          48.685    
OperationGetKHopNeighbors-in-withlabel-1            0.089            0.010         0.074           0.112    
OperationGetKHopNeighbors-in-withlabel-2            0.278            0.074         0.148           0.498    
OperationGetKHopNeighbors-in-withlabel-3            1.154            0.607         0.294           3.632    
OperationGetKHopNeighbors-in-withlabel-4            7.098            3.221         0.992          16.454    
OperationGetKHopNeighbors-in-withlabel-5           27.199            9.993         6.025          60.970    
OperationGetKHopNeighbors-both-withlabel-1          0.143            0.023         0.095           0.193    
OperationGetKHopNeighbors-both-withlabel-2          0.895            0.313         0.365           1.710    
OperationGetKHopNeighbors-both-withlabel-3          9.973            2.257         2.840          18.229    
OperationGetKHopNeighbors-both-withlabel-4         71.670           19.135        17.796         139.860    
OperationGetKHopNeighbors-both-withlabel-5        600.255          168.634       136.549        1056.400    
OperationLocalClusteringCoefficient                 1.027            0.261         0.422           1.675    
OperationShutdownGraph                            125.363            0.000       125.363         125.363    
