operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                244.456            0.000       244.456         244.456    
OperationDoGC                                    1498.847            7.995      1490.314        1526.418    
OperationGetManyVertices                            0.029            0.011         0.017           0.096    
OperationGetManyEdges                               0.029            0.008         0.016           0.073    
OperationGetFirstNeighbor-out                       0.515            0.236         0.065           1.282    
OperationGetAllNeighbors-out                        0.484            0.282         0.048           1.752    
OperationGetNeighborEdgeConditional-out             0.783            0.744         0.046           5.756    
OperationGetFirstNeighbor-in                        0.442            0.374         0.053           2.648    
OperationGetAllNeighbors-in                         0.453            0.373         0.069           2.739    
OperationGetNeighborEdgeConditional-in              0.637            0.278         0.105           1.565    
OperationGetFirstNeighbor-both                      0.264            0.211         0.057           0.920    
OperationGetAllNeighbors-both                       0.348            0.324         0.081           1.902    
OperationGetNeighborEdgeConditional-both            0.904            0.630         0.113           3.403    
OperationGetManyVertexProperties-name               0.800            1.135         0.134           6.469    
OperationGetManyVertexProperties-age                0.117            0.030         0.078           0.198    
OperationGetManyEdgeProperties-time                 2.100            1.066         0.514           4.813    
OperationGetManyVertexPropertySets                  0.223            0.037         0.122           0.277    
OperationGetManyEdgePropertySets                    0.430            0.197         0.084           1.040    
OperationShutdownGraph                            301.708            0.000       301.708         301.708    
