operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                302.239            0.000       302.239         302.239    
OperationDoGC                                    2437.274          236.128      1495.299        2673.017    
OperationGetKHopNeighbors-out-1                     0.266            0.088         0.133           0.693    
OperationGetKHopNeighbors-out-2                     0.549            0.801         0.130           6.117    
OperationGetKHopNeighbors-out-3                     2.145            5.205         0.138          37.931    
OperationGetKHopNeighbors-out-4                     1.685            2.816         0.112          18.541    
OperationGetKHopNeighbors-out-5                     8.978           53.805         0.080         511.300    
OperationGetKHopNeighbors-in-1                      0.145            0.044         0.070           0.458    
OperationGetKHopNeighbors-in-2                      0.406            0.173         0.180           1.140    
OperationGetKHopNeighbors-in-3                      1.877            0.975         0.609           5.790    
OperationGetKHopNeighbors-in-4                      6.786            3.341         1.675          34.563    
OperationGetKHopNeighbors-in-5                     19.477            7.691         0.891          40.310    
OperationGetKHopNeighbors-both-1                    0.144            0.049         0.087           0.465    
OperationGetKHopNeighbors-both-2                    0.804            3.052         0.180          31.053    
OperationGetKHopNeighbors-both-3                    5.619            4.882         0.942          27.707    
OperationGetKHopNeighbors-both-4                   92.240          147.127        10.509        1160.723    
OperationGetKHopNeighbors-both-5                 1508.727         1083.130       211.537        5295.340    
OperationGetKHopNeighbors-out-withlabel-1           0.139            0.045         0.079           0.447    
OperationGetKHopNeighbors-out-withlabel-2           0.244            0.181         0.070           1.001    
OperationGetKHopNeighbors-out-withlabel-3           1.016            4.428         0.073          44.226    
OperationGetKHopNeighbors-out-withlabel-4           2.504            6.959         0.067          57.073    
OperationGetKHopNeighbors-out-withlabel-5           2.723           10.916         0.077          92.407    
OperationGetKHopNeighbors-in-withlabel-1            0.140            0.044         0.074           0.445    
OperationGetKHopNeighbors-in-withlabel-2            0.337            0.118         0.151           0.979    
OperationGetKHopNeighbors-in-withlabel-3            1.356            0.427         0.581           2.386    
OperationGetKHopNeighbors-in-withlabel-4            6.065            4.392         2.604          48.301    
OperationGetKHopNeighbors-in-withlabel-5           10.613            5.244         1.460          51.864    
OperationGetKHopNeighbors-both-withlabel-1          0.143            0.044         0.080           0.437    
OperationGetKHopNeighbors-both-withlabel-2          0.454            0.246         0.153           2.064    
OperationGetKHopNeighbors-both-withlabel-3          5.634            7.425         1.354          56.185    
OperationGetKHopNeighbors-both-withlabel-4         94.626          139.459        13.281         825.539    
OperationGetKHopNeighbors-both-withlabel-5       1720.789         1527.894       357.419        9410.299    
OperationShutdownGraph                           1054.829            0.000      1054.829        1054.829    
