operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                332.730            0.000       332.730         332.730    
OperationDoGC                                    1986.920          184.237      1515.641        2200.112    
OperationGetManyVertices                            0.028            0.008         0.019           0.069    
OperationGetManyEdges                               0.159            0.046         0.100           0.501    
OperationGetFirstNeighbor-out                       0.284            0.096         0.126           0.603    
OperationGetAllNeighbors-out                        0.365            0.119         0.160           0.837    
OperationGetFirstNeighbor-in                        0.233            0.072         0.118           0.474    
OperationGetAllNeighbors-in                         0.275            0.087         0.116           0.656    
OperationGetFirstNeighbor-both                      0.209            0.056         0.106           0.420    
OperationGetAllNeighbors-both                       0.267            0.092         0.126           0.617    
OperationGetManyVertexProperties-title              3.463            0.945         1.486           6.120    
OperationGetManyVertexProperties-salesrank          1.102            0.401         0.523           2.349    
OperationGetManyVertexProperties-group              0.999            0.578         0.478           6.079    
OperationGetManyVertexPropertySets                  2.140            0.499         1.032           3.738    
OperationShutdownGraph                            856.586            0.000       856.586         856.586    
