operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                389.379            0.000       389.379         389.379    
OperationDoGC                                                    2395.803          233.268      1534.923        2635.274    
OperationGetManyVertices                                            0.382            0.000         0.382           0.382    
OperationGetManyEdges                                               0.456            0.000         0.456           0.456    
OperationGetFirstNeighbor-out                                       0.293            0.056         0.152           0.433    
OperationGetAllNeighbors-out                                        0.297            0.070         0.144           0.643    
OperationGetNeighborEdgeConditional-out                            12.165            6.612         2.481          35.577    
OperationGetFirstNeighbor-in                                        0.230            0.067         0.104           0.594    
OperationGetAllNeighbors-in                                         0.213            0.060         0.113           0.350    
OperationGetNeighborEdgeConditional-in                             46.977           23.362         0.144         116.026    
OperationGetFirstNeighbor-both                                      0.235            0.047         0.137           0.371    
OperationGetAllNeighbors-both                                       0.240            0.064         0.133           0.551    
OperationGetNeighborEdgeConditional-both                           60.815           26.491         8.222         149.399    
OperationGetFirstNeighbor-out-withlabel                             0.221            0.045         0.118           0.396    
OperationGetAllNeighbors-out-withlabel                              0.227            0.063         0.119           0.522    
OperationGetNeighborEdgeConditional-out-withlabel                  12.073            9.136         0.352          68.169    
OperationGetFirstNeighbor-in-withlabel                              0.221            0.059         0.123           0.565    
OperationGetAllNeighbors-in-withlabel                               0.218            0.046         0.119           0.370    
OperationGetNeighborEdgeConditional-in-withlabel                   48.808           20.488         4.332         115.323    
OperationGetFirstNeighbor-both-withlabel                            0.207            0.047         0.101           0.334    
OperationGetAllNeighbors-both-withlabel                             0.234            0.056         0.134           0.484    
OperationGetNeighborEdgeConditional-both-withlabel                 55.550           23.110        16.206         126.807    
OperationGetKHopNeighbors-out-1                                     0.209            0.045         0.117           0.342    
OperationGetKHopNeighborsEdgeConditional-out-1                     11.259            7.129         0.197          46.143    
OperationGetKHopNeighbors-out-2                                     0.855            0.389         0.147           2.181    
OperationGetKHopNeighborsEdgeConditional-out-2                     21.259            8.445         6.653          45.179    
OperationGetKHopNeighbors-out-3                                     5.180            7.842         0.194          74.980    
OperationGetKHopNeighborsEdgeConditional-out-3                     30.418           17.814         0.119         154.689    
OperationGetKHopNeighbors-out-4                                    14.973           11.211         0.107          80.205    
OperationGetKHopNeighborsEdgeConditional-out-4                     41.442           17.753         0.140         105.012    
OperationGetKHopNeighbors-out-5                                    73.693           33.326        12.362         154.284    
OperationGetKHopNeighborsEdgeConditional-out-5                     46.571           20.346         0.076         146.471    
OperationGetKHopNeighbors-in-1                                      0.097            0.051         0.016           0.459    
OperationGetKHopNeighborsEdgeConditional-in-1                      50.389           22.088        13.364         118.818    
OperationGetKHopNeighbors-in-2                                      0.460            0.168         0.138           0.813    
OperationGetKHopNeighborsEdgeConditional-in-2                      86.161           23.195        31.851         140.426    
