operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                514.190            0.000       514.190         514.190    
OperationDoGC                                    2067.651          180.805      1525.891        2211.351    
OperationGetManyVertices                            0.302            0.071         0.164           0.608    
OperationGetManyEdges                               0.443            0.077         0.261           0.580    
OperationGetFirstNeighbor-out                       0.338            0.089         0.165           0.623    
OperationGetAllNeighbors-out                        0.348            0.091         0.167           0.670    
OperationGetNeighborEdgeConditional-out             8.465            5.578         0.337          27.434    
OperationGetFirstNeighbor-in                        0.234            0.066         0.134           0.566    
OperationGetAllNeighbors-in                         0.302            0.071         0.145           0.502    
OperationGetNeighborEdgeConditional-in             48.054           25.991         0.222         124.990    
OperationGetFirstNeighbor-both                      0.244            0.072         0.152           0.647    
OperationGetAllNeighbors-both                       0.342            0.072         0.166           0.619    
OperationGetNeighborEdgeConditional-both           55.852           24.932         3.715         131.398    
OperationGetManyVertexProperties-name             364.657          154.878       118.809         732.699    
OperationGetManyVertexProperties-age               57.825           40.645         1.878         207.585    
OperationGetManyEdgeProperties-time               622.876           39.688       544.234         759.077    
OperationGetManyVertexPropertySets                 11.102           15.626         0.652         100.765    
OperationGetManyEdgePropertySets                  457.143          111.818       220.078         793.308    
OperationShutdownGraph                           2423.718            0.000      2423.718        2423.718    
