operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                               7103.763            0.000      7103.763        7103.763    
OperationDoGC                                                    1436.384          244.690      1401.840        3779.127    
OperationGetManyVertices                                            0.268            0.000         0.268           0.268    
OperationGetManyEdges                                               0.363            0.000         0.363           0.363    
OperationGetFirstNeighbor-out                                       1.431            5.836         0.095          52.752    
OperationGetAllNeighbors-out                                        5.599            5.820         0.110          20.622    
OperationGetNeighborEdgeConditional-out                             7.896            9.882         0.219          68.361    
OperationGetFirstNeighbor-in                                        1.936            4.389         0.096          24.818    
OperationGetAllNeighbors-in                                         5.442            6.953         0.159          47.350    
OperationGetNeighborEdgeConditional-in                             12.662           12.853         0.244          67.299    
OperationGetFirstNeighbor-both                                      3.042            5.891         0.135          34.285    
OperationGetAllNeighbors-both                                       7.091            6.089         0.215          26.319    
OperationGetNeighborEdgeConditional-both                           15.730           12.832         0.513          61.705    
OperationGetFirstNeighbor-out-withlabel                             3.762            4.760         0.098          17.549    
OperationGetAllNeighbors-out-withlabel                              4.289            4.782         0.100          17.590    
OperationGetNeighborEdgeConditional-out-withlabel                   6.809           16.666         0.134         133.685    
OperationGetFirstNeighbor-in-withlabel                              3.612            5.065         0.106          21.864    
OperationGetAllNeighbors-in-withlabel                               2.782            4.336         0.121          16.213    
OperationGetNeighborEdgeConditional-in-withlabel                    9.767           12.247         0.138          88.847    
OperationGetFirstNeighbor-both-withlabel                            7.518            7.426         0.168          39.100    
OperationGetAllNeighbors-both-withlabel                             6.947            9.385         0.153          78.124    
OperationGetNeighborEdgeConditional-both-withlabel                 12.120           12.013         0.252          64.097    
OperationGetKHopNeighbors-out-1                                     4.111            5.470         0.143          20.426    
OperationGetKHopNeighborsEdgeConditional-out-1                      4.934            6.514         0.188          36.719    
OperationGetKHopNeighbors-out-2                                    28.513           18.719         0.178         119.095    
OperationGetKHopNeighborsEdgeConditional-out-2                      9.616            8.588         0.330          38.489    
OperationGetKHopNeighbors-out-3                                   144.115           73.604        18.131         308.904    
OperationGetKHopNeighborsEdgeConditional-out-3                     14.653           14.648         0.248         113.686    
OperationGetKHopNeighbors-out-4                                   374.337          304.431         0.117        1474.457    
OperationGetKHopNeighborsEdgeConditional-out-4                     22.031           13.526         0.152          65.284    
OperationGetKHopNeighbors-out-5                                   217.472          338.327         5.637        1729.410    
OperationGetKHopNeighborsEdgeConditional-out-5                     34.632           15.842         3.925          87.388    
OperationGetKHopNeighbors-in-1                                      9.835           10.162         0.160          81.935    
OperationGetKHopNeighborsEdgeConditional-in-1                      19.667           14.215         0.313          76.735    
OperationGetKHopNeighbors-in-2                                     84.993           36.793         0.274         182.650    
OperationGetKHopNeighborsEdgeConditional-in-2                      37.585           14.591         6.543          72.280    
OperationGetKHopNeighbors-in-3                                    572.354          232.527        60.965        1152.179    
OperationGetKHopNeighborsEdgeConditional-in-3                      75.640           30.114        21.914         204.266    
