operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               7206.875            0.000      7206.875        7206.875    
OperationDoGC                                    1389.379            6.326      1382.459        1417.244    
OperationGetKHopNeighbors-out-1                    10.018           11.945         0.150          93.944    
OperationGetKHopNeighbors-out-2                    65.393           33.621         0.141         149.721    
OperationGetKHopNeighbors-out-3                   365.457          173.410        47.733         945.848    
OperationGetKHopNeighbors-out-4                   775.317          743.613         8.494        4106.805    
OperationGetKHopNeighbors-out-5                   250.851          429.328         0.087        2152.920    
OperationGetKHopNeighbors-in-1                     17.074            8.970         0.163          43.788    
OperationGetKHopNeighbors-in-2                    109.401           48.935         7.355         278.816    
OperationGetKHopNeighbors-in-3                    683.498          293.956       254.002        1822.620    
OperationGetKHopNeighbors-in-4                   1955.077         1440.854       214.665        7474.138    
OperationGetKHopNeighbors-in-5                    432.821          750.484        16.116        4584.355    
OperationGetKHopNeighbors-both-1                    0.158            0.032         0.116           0.250    
OperationGetKHopNeighbors-both-2                    1.637            1.270         0.573          13.370    
OperationGetKHopNeighbors-both-3                   15.252            5.523         6.198          40.528    
OperationGetKHopNeighbors-both-4                  187.658           49.030        84.454         326.701    
OperationGetKHopNeighbors-both-5                 2362.196          615.893       994.731        3826.446    
OperationGetKHopNeighbors-out-withlabel-1           0.080            0.010         0.065           0.096    
OperationGetKHopNeighbors-out-withlabel-2           0.211            0.063         0.066           0.376    
OperationGetKHopNeighbors-out-withlabel-3           0.494            0.200         0.063           0.958    
OperationGetKHopNeighbors-out-withlabel-4           1.170            0.690         0.070           3.256    
OperationGetKHopNeighbors-out-withlabel-5           4.060            2.761         0.067          12.518    
OperationGetKHopNeighbors-in-withlabel-1            0.084            0.014         0.068           0.140    
OperationGetKHopNeighbors-in-withlabel-2            0.243            0.066         0.065           0.387    
OperationGetKHopNeighbors-in-withlabel-3            0.528            0.265         0.083           1.296    
OperationGetKHopNeighbors-in-withlabel-4            1.294            0.666         0.082           2.883    
OperationGetKHopNeighbors-in-withlabel-5            3.368            2.527         0.066          12.251    
OperationGetKHopNeighbors-both-withlabel-1          0.140            0.024         0.093           0.197    
OperationGetKHopNeighbors-both-withlabel-2          0.610            0.192         0.237           0.960    
OperationGetKHopNeighbors-both-withlabel-3          3.404            1.614         0.988           8.176    
OperationGetKHopNeighbors-both-withlabel-4         15.929            4.465         4.186          25.832    
OperationGetKHopNeighbors-both-withlabel-5         86.202           25.615        32.852         147.272    
OperationLocalClusteringCoefficient                 1.637            0.697         0.618           3.927    
OperationShutdownGraph                            359.913            0.000       359.913         359.913    
