operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                                 99.968            0.000        99.968          99.968    
OperationDoGC                                                    1409.530            6.902      1402.962        1466.936    
OperationGetManyVertices                                            0.107            0.000         0.107           0.107    
OperationGetManyEdges                                               0.185            0.000         0.185           0.185    
OperationGetFirstNeighbor-out                                       0.094            0.022         0.069           0.161    
OperationGetAllNeighbors-out                                        0.108            0.015         0.076           0.158    
OperationGetNeighborEdgeConditional-out                             0.136            0.029         0.075           0.216    
OperationGetFirstNeighbor-in                                        0.089            0.019         0.069           0.148    
OperationGetAllNeighbors-in                                         0.100            0.017         0.076           0.151    
OperationGetNeighborEdgeConditional-in                              0.138            0.029         0.070           0.216    
OperationGetFirstNeighbor-both                                      0.108            0.017         0.079           0.170    
OperationGetAllNeighbors-both                                       0.150            0.022         0.096           0.214    
OperationGetNeighborEdgeConditional-both                            0.180            0.036         0.116           0.267    
OperationGetFirstNeighbor-out-withlabel                             0.086            0.009         0.067           0.129    
OperationGetAllNeighbors-out-withlabel                              0.090            0.015         0.067           0.169    
OperationGetNeighborEdgeConditional-out-withlabel                   0.123            0.024         0.071           0.179    
OperationGetFirstNeighbor-in-withlabel                              0.095            0.018         0.073           0.187    
OperationGetAllNeighbors-in-withlabel                               0.088            0.011         0.076           0.110    
OperationGetNeighborEdgeConditional-in-withlabel                    0.115            0.027         0.069           0.207    
OperationGetFirstNeighbor-both-withlabel                            0.112            0.017         0.082           0.170    
OperationGetAllNeighbors-both-withlabel                             0.120            0.020         0.081           0.183    
OperationGetNeighborEdgeConditional-both-withlabel                  0.141            0.031         0.078           0.203    
OperationGetKHopNeighbors-out-1                                     0.116            0.017         0.078           0.166    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.120            0.023         0.064           0.181    
OperationGetKHopNeighbors-out-2                                     0.175            0.049         0.077           0.300    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.164            0.031         0.084           0.213    
OperationGetKHopNeighbors-out-3                                     0.255            0.107         0.093           0.577    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.174            0.044         0.064           0.330    
OperationGetKHopNeighbors-out-4                                     0.383            0.215         0.082           1.020    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.178            0.051         0.070           0.326    
OperationGetKHopNeighbors-out-5                                     1.078            0.658         0.083           3.792    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.192            0.061         0.071           0.342    
OperationGetKHopNeighbors-in-1                                      0.121            0.021         0.089           0.190    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.115            0.027         0.062           0.188    
OperationGetKHopNeighbors-in-2                                      0.158            0.043         0.086           0.318    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.144            0.027         0.064           0.227    
OperationGetKHopNeighbors-in-3                                      0.261            0.120         0.078           0.642    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.169            0.038         0.080           0.281    
OperationGetKHopNeighbors-in-4                                      0.497            0.290         0.083           1.449    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.171            0.050         0.062           0.271    
OperationGetKHopNeighbors-in-5                                      0.814            0.615         0.104           2.916    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.190            0.056         0.064           0.316    
OperationGetKHopNeighbors-both-1                                    0.141            0.022         0.102           0.194    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.161            0.035         0.099           0.262    
OperationGetKHopNeighbors-both-2                                    0.298            0.104         0.133           0.678    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.219            0.048         0.128           0.329    
OperationGetKHopNeighbors-both-3                                    1.240            0.562         0.307           3.001    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.254            0.063         0.157           0.367    
OperationGetKHopNeighbors-both-4                                    4.697            2.009         0.850           9.153    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.295            0.084         0.182           0.481    
OperationGetKHopNeighbors-both-5                                   12.912            3.633         2.176          20.306    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.346            0.098         0.195           0.531    
OperationGetKHopNeighbors-out-withlabel-1                           0.097            0.017         0.079           0.167    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.093            0.019         0.060           0.156    
OperationGetKHopNeighbors-out-withlabel-2                           0.122            0.026         0.076           0.210    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.100            0.026         0.057           0.148    
OperationGetKHopNeighbors-out-withlabel-3                           0.140            0.033         0.085           0.286    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.110            0.035         0.055           0.182    
OperationGetKHopNeighbors-out-withlabel-4                           0.146            0.052         0.074           0.334    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.107            0.034         0.056           0.207    
OperationGetKHopNeighbors-out-withlabel-5                           0.145            0.065         0.072           0.366    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.121            0.040         0.057           0.243    
OperationGetKHopNeighbors-in-withlabel-1                            0.096            0.018         0.074           0.174    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.092            0.020         0.056           0.152    
OperationGetKHopNeighbors-in-withlabel-2                            0.102            0.016         0.075           0.149    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.110            0.027         0.059           0.163    
OperationGetKHopNeighbors-in-withlabel-3                            0.129            0.038         0.072           0.265    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.117            0.035         0.054           0.196    
OperationGetKHopNeighbors-in-withlabel-4                            0.147            0.058         0.069           0.318    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.126            0.040         0.069           0.211    
OperationGetKHopNeighbors-in-withlabel-5                            0.168            0.079         0.072           0.369    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.120            0.040         0.060           0.217    
OperationGetKHopNeighbors-both-withlabel-1                          0.126            0.018         0.089           0.174    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.111            0.020         0.065           0.186    
OperationGetKHopNeighbors-both-withlabel-2                          0.181            0.053         0.101           0.375    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.139            0.035         0.065           0.224    
OperationGetKHopNeighbors-both-withlabel-3                          0.309            0.141         0.096           0.819    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.157            0.044         0.067           0.296    
OperationGetKHopNeighbors-both-withlabel-4                          0.567            0.314         0.081           1.606    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.218            0.059         0.086           0.360    
OperationGetKHopNeighbors-both-withlabel-5                          1.177            0.937         0.119           4.995    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.213            0.078         0.063           0.371    
OperationGetManyVertexProperties-name                               2.837            0.000         2.837           2.837    
OperationGetManyVertexProperties-age                                3.615            0.000         3.615           3.615    
OperationGetManyEdgeProperties-time                                 3.434            0.000         3.434           3.434    
OperationGetManyVertexPropertySets                                  5.410            0.000         5.410           5.410    
OperationGetManyEdgePropertySets                                    3.299            0.000         3.299           3.299    
OperationGetVerticesUsingKeyIndex-_original_id                      0.143            0.023         0.108           0.197    
OperationGetVerticesUsingKeyIndex-name                              0.160            0.025         0.114           0.225    
OperationGetVerticesUsingKeyIndex-age                               0.159            0.033         0.115           0.238    
OperationGetEdgesUsingKeyIndex-time                                 0.168            0.029         0.123           0.283    
OperationGetShortestPath                                           11.382            6.362         0.304          21.043    
OperationLocalClusteringCoefficient                                 0.471            0.132         0.207           0.776    
OperationShutdownGraph                                            223.554            0.000       223.554         223.554    
