operation                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                244.183            0.000       244.183         244.183    
OperationDoGC                                    1469.896            5.206      1462.624        1502.368    
OperationGetKHopNeighbors-out-1                     0.243            0.059         0.114           0.461    
OperationGetKHopNeighbors-out-2                     0.423            0.369         0.078           2.124    
OperationGetKHopNeighbors-out-3                     0.619            1.186         0.076           8.677    
OperationGetKHopNeighbors-out-4                     0.304            0.534         0.078           4.141    
OperationGetKHopNeighbors-out-5                     0.343            0.450         0.077           2.403    
OperationGetKHopNeighbors-in-1                      0.115            0.017         0.084           0.166    
OperationGetKHopNeighbors-in-2                      0.141            0.124         0.094           1.353    
OperationGetKHopNeighbors-in-3                      0.211            0.041         0.122           0.311    
OperationGetKHopNeighbors-in-4                      0.320            0.102         0.092           0.549    
OperationGetKHopNeighbors-in-5                      0.383            0.161         0.096           0.792    
OperationGetKHopNeighbors-both-1                    0.117            0.019         0.084           0.159    
OperationGetKHopNeighbors-both-2                    0.213            0.089         0.112           0.559    
OperationGetKHopNeighbors-both-3                    1.103            0.507         0.414           3.784    
OperationGetKHopNeighbors-both-4                    3.091            0.990         1.382           4.936    
OperationGetKHopNeighbors-both-5                    4.224            0.809         2.239           4.667    
OperationGetKHopNeighbors-out-withlabel-1           0.121            0.017         0.087           0.188    
OperationGetKHopNeighbors-out-withlabel-2           0.150            0.079         0.083           0.586    
OperationGetKHopNeighbors-out-withlabel-3           0.214            0.210         0.085           1.566    
OperationGetKHopNeighbors-out-withlabel-4           0.372            0.555         0.087           2.736    
OperationGetKHopNeighbors-out-withlabel-5           0.276            0.357         0.082           1.671    
OperationGetKHopNeighbors-in-withlabel-1            0.116            0.017         0.087           0.170    
OperationGetKHopNeighbors-in-withlabel-2            0.133            0.024         0.096           0.189    
OperationGetKHopNeighbors-in-withlabel-3            0.217            0.041         0.135           0.302    
OperationGetKHopNeighbors-in-withlabel-4            0.324            0.092         0.168           0.508    
OperationGetKHopNeighbors-in-withlabel-5            0.447            0.150         0.132           0.782    
OperationGetKHopNeighbors-both-withlabel-1          0.119            0.021         0.087           0.185    
OperationGetKHopNeighbors-both-withlabel-2          0.220            0.081         0.115           0.591    
OperationGetKHopNeighbors-both-withlabel-3          1.062            0.460         0.306           2.802    
OperationGetKHopNeighbors-both-withlabel-4          3.397            0.689         1.580           4.587    
OperationGetKHopNeighbors-both-withlabel-5          4.259            0.783         2.233           5.252    
OperationShutdownGraph                            300.683            0.000       300.683         300.683    
