"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","2.61580358E8","0.0","2.61580358E8","2.61580358E8"
"OperationDoGC","1.4896189295E9","1.2156825860600973E7","1.480722893E9","1.537416388E9"
"OperationGetManyVertices","22545.87","4816.899416959004","11592.0","58995.0"
"OperationGetManyEdges","23801.45","5104.749973064302","13540.0","44103.0"
"OperationGetFirstNeighbor-out","529086.11","265456.61203714233","60341.0","1685543.0"
"OperationGetAllNeighbors-out","576730.32","354437.1380797131","61350.0","2435424.0"
"OperationGetNeighborEdgeConditional-out","917070.85","1408378.017440186","59106.0","1.3111109E7"
"OperationGetFirstNeighbor-in","440704.95","324253.5878759207","50231.0","1886112.0"
"OperationGetAllNeighbors-in","391961.57","279848.62718102644","60420.0","1205535.0"
"OperationGetNeighborEdgeConditional-in","765663.61","329614.4594442998","100192.0","1979500.0"
"OperationGetFirstNeighbor-both","263509.78","248969.99472657664","54636.0","1350488.0"
"OperationGetAllNeighbors-both","259676.01","220118.3089309699","72289.0","1050681.0"
"OperationGetNeighborEdgeConditional-both","946427.76","649060.2676887274","93709.0","3634594.0"
"OperationGetManyVertexProperties-name","967894.91","1233860.8460470662","185832.0","6760037.0"
"OperationGetManyVertexProperties-age","138644.84","28413.49107122179","86234.0","217234.0"
"OperationGetManyEdgeProperties-time","1760970.55","1054796.8900889726","336448.0","4233668.0"
"OperationGetManyVertexPropertySets","203351.0","45121.61541035516","115742.0","303969.0"
"OperationGetManyEdgePropertySets","450104.06","192347.90983542404","135997.0","1187733.0"
"OperationShutdownGraph","2.88736352E8","0.0","2.88736352E8","2.88736352E8"
