operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                 91.918            0.000        91.918          91.918    
OperationDoGC                                                    1541.029            6.642      1528.310        1573.785    
OperationGetManyVertices                                            0.022            0.003         0.012           0.034    
OperationGetManyEdges                                               0.025            0.005         0.014           0.053    
OperationGetFirstNeighbor-out                                       0.144            0.036         0.021           0.243    
OperationGetAllNeighbors-out                                        0.148            0.053         0.026           0.278    
OperationGetNeighborEdgeConditional-out                             0.268            0.330         0.021           3.214    
OperationGetFirstNeighbor-in                                        0.113            0.060         0.020           0.246    
OperationGetAllNeighbors-in                                         0.111            0.063         0.025           0.236    
OperationGetNeighborEdgeConditional-in                              0.239            0.066         0.085           0.402    
OperationGetFirstNeighbor-both                                      0.092            0.067         0.020           0.333    
OperationGetAllNeighbors-both                                       0.081            0.058         0.026           0.217    
OperationGetNeighborEdgeConditional-both                            0.248            0.144         0.056           0.963    
OperationGetFirstNeighbor-out-withlabel                             0.092            0.067         0.027           0.237    
OperationGetAllNeighbors-out-withlabel                              0.087            0.065         0.028           0.246    
OperationGetNeighborEdgeConditional-out-withlabel                   0.154            0.110         0.029           0.574    
OperationGetFirstNeighbor-in-withlabel                              0.081            0.066         0.027           0.267    
OperationGetAllNeighbors-in-withlabel                               0.076            0.057         0.030           0.219    
OperationGetNeighborEdgeConditional-in-withlabel                    0.203            0.080         0.059           0.432    
OperationGetFirstNeighbor-both-withlabel                            0.070            0.057         0.027           0.210    
OperationGetAllNeighbors-both-withlabel                             0.084            0.065         0.036           0.342    
OperationGetNeighborEdgeConditional-both-withlabel                  0.226            0.100         0.064           0.478    
OperationGetKHopNeighbors-out-1                                     0.045            0.047         0.018           0.253    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.107            0.118         0.017           0.653    
OperationGetKHopNeighbors-out-2                                     0.108            0.123         0.017           0.674    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.113            0.098         0.016           0.557    
OperationGetKHopNeighbors-out-3                                     0.192            0.555         0.018           5.114    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.096            0.079         0.017           0.433    
OperationGetKHopNeighbors-out-4                                     0.181            0.459         0.017           3.177    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.085            0.083         0.017           0.614    
OperationGetKHopNeighbors-out-5                                     0.257            0.556         0.016           2.528    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.074            0.065         0.013           0.384    
OperationGetKHopNeighbors-in-1                                      0.025            0.004         0.019           0.046    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.074            0.032         0.031           0.144    
OperationGetKHopNeighbors-in-2                                      0.046            0.009         0.028           0.066    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.115            0.039         0.036           0.228    
OperationGetKHopNeighbors-in-3                                      0.116            0.029         0.040           0.200    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.112            0.043         0.036           0.208    
OperationGetKHopNeighbors-in-4                                      0.247            0.070         0.043           0.408    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.127            0.048         0.053           0.240    
OperationGetKHopNeighbors-in-5                                      0.316            0.137         0.044           0.714    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.092            0.033         0.056           0.205    
OperationGetKHopNeighbors-both-1                                    0.027            0.006         0.017           0.049    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.071            0.033         0.031           0.261    
OperationGetKHopNeighbors-both-2                                    0.103            0.047         0.039           0.264    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.134            0.075         0.044           0.471    
OperationGetKHopNeighbors-both-3                                    0.758            0.331         0.273           1.832    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.154            0.073         0.056           0.451    
OperationGetKHopNeighbors-both-4                                    3.002            0.636         1.328           4.013    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.180            0.083         0.063           0.429    
OperationGetKHopNeighbors-both-5                                    3.952            0.282         2.126           4.069    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.191            0.091         0.067           0.493    
OperationGetKHopNeighbors-out-withlabel-1                           0.026            0.007         0.017           0.065    
