operation                                                   neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                                233.930            0.000       233.930         233.930    
OperationDoGC                                                    1503.346            6.469      1492.350        1541.373    
OperationGetManyVertices                                            0.082            0.000         0.082           0.082    
OperationGetManyEdges                                               0.077            0.000         0.077           0.077    
OperationGetFirstNeighbor-out                                       0.438            0.238         0.025           1.727    
OperationGetAllNeighbors-out                                        0.439            0.269         0.022           1.305    
OperationGetNeighborEdgeConditional-out                             1.073            1.167         0.022           5.514    
OperationGetFirstNeighbor-in                                        0.356            0.385         0.024           2.481    
OperationGetAllNeighbors-in                                         0.338            0.263         0.030           1.268    
OperationGetNeighborEdgeConditional-in                              0.861            0.352         0.104           2.219    
OperationGetFirstNeighbor-both                                      0.239            0.243         0.024           0.883    
OperationGetAllNeighbors-both                                       0.258            0.228         0.031           0.829    
OperationGetNeighborEdgeConditional-both                            1.253            1.176         0.146           7.881    
OperationGetFirstNeighbor-out-withlabel                             0.236            0.276         0.028           1.465    
OperationGetAllNeighbors-out-withlabel                              0.226            0.506         0.025           4.770    
OperationGetNeighborEdgeConditional-out-withlabel                   0.548            0.611         0.028           3.632    
OperationGetFirstNeighbor-in-withlabel                              0.129            0.189         0.032           0.933    
OperationGetAllNeighbors-in-withlabel                               0.160            0.200         0.040           0.813    
OperationGetNeighborEdgeConditional-in-withlabel                    0.451            0.294         0.072           1.263    
OperationGetFirstNeighbor-both-withlabel                            0.149            0.257         0.033           1.577    
OperationGetAllNeighbors-both-withlabel                             0.139            0.179         0.040           0.690    
OperationGetNeighborEdgeConditional-both-withlabel                  0.796            0.714         0.073           5.843    
OperationGetKHopNeighbors-out-1                                     0.125            0.199         0.018           1.011    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.270            0.362         0.016           2.159    
OperationGetKHopNeighbors-out-2                                     0.294            0.517         0.018           2.702    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.413            0.449         0.017           1.904    
OperationGetKHopNeighbors-out-3                                     0.271            0.525         0.018           2.781    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.304            0.528         0.017           4.029    
OperationGetKHopNeighbors-out-4                                     0.221            0.609         0.018           5.087    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.337            0.519         0.017           3.195    
OperationGetKHopNeighbors-out-5                                     0.200            0.375         0.015           2.564    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.227            0.270         0.015           1.387    
OperationGetKHopNeighbors-in-1                                      0.023            0.004         0.019           0.028    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.222            0.140         0.048           0.543    
OperationGetKHopNeighbors-in-2                                      0.044            0.010         0.025           0.097    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.210            0.109         0.077           0.510    
OperationGetKHopNeighbors-in-3                                      0.107            0.023         0.033           0.147    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.356            0.181         0.090           0.808    
OperationGetKHopNeighbors-in-4                                      0.205            0.071         0.060           0.376    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.297            0.173         0.095           0.876    
OperationGetKHopNeighbors-in-5                                      0.276            0.115         0.033           0.524    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.271            0.140         0.078           0.732    
OperationGetKHopNeighbors-both-1                                    0.025            0.007         0.019           0.060    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.224            0.178         0.057           0.871    
OperationGetKHopNeighbors-both-2                                    0.110            0.045         0.054           0.270    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.344            0.213         0.084           1.327    
OperationGetKHopNeighbors-both-3                                    0.781            0.405         0.200           2.195    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.395            0.249         0.103           1.652    
OperationGetKHopNeighbors-both-4                                    2.870            0.727         1.351           4.469    
OperationGetKHopNeighborsEdgeConditional-both-4                     0.314            0.206         0.095           1.367    
OperationGetKHopNeighbors-both-5                                    3.774            0.555         1.976           4.504    
OperationGetKHopNeighborsEdgeConditional-both-5                     0.242            0.164         0.041           0.863    
OperationGetKHopNeighbors-out-withlabel-1                           0.027            0.006         0.016           0.049    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            0.038            0.051         0.015           0.364    
OperationGetKHopNeighbors-out-withlabel-2                           0.049            0.044         0.016           0.241    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            0.042            0.064         0.015           0.562    
OperationGetKHopNeighbors-out-withlabel-3                           0.084            0.125         0.015           0.715    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            0.036            0.040         0.015           0.313    
OperationGetKHopNeighbors-out-withlabel-4                           0.119            0.192         0.016           1.402    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            0.036            0.026         0.015           0.205    
OperationGetKHopNeighbors-out-withlabel-5                           0.271            0.567         0.016           2.586    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            0.045            0.063         0.015           0.427    
OperationGetKHopNeighbors-in-withlabel-1                            0.024            0.005         0.019           0.067    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             0.038            0.043         0.020           0.225    
OperationGetKHopNeighbors-in-withlabel-2                            0.046            0.007         0.034           0.054    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             0.038            0.021         0.024           0.207    
OperationGetKHopNeighbors-in-withlabel-3                            0.097            0.027         0.029           0.140    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             0.046            0.031         0.023           0.233    
OperationGetKHopNeighbors-in-withlabel-4                            0.192            0.070         0.039           0.348    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             0.053            0.036         0.031           0.297    
OperationGetKHopNeighbors-in-withlabel-5                            0.277            0.124         0.092           0.533    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5             0.052            0.024         0.028           0.256    
OperationGetKHopNeighbors-both-withlabel-1                          0.030            0.008         0.019           0.060    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1           0.040            0.034         0.021           0.236    
OperationGetKHopNeighbors-both-withlabel-2                          0.110            0.048         0.049           0.321    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2           0.051            0.021         0.027           0.207    
OperationGetKHopNeighbors-both-withlabel-3                          0.687            0.353         0.248           1.869    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3           0.071            0.037         0.030           0.280    
OperationGetKHopNeighbors-both-withlabel-4                          2.852            0.814         1.050           3.999    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4           0.083            0.062         0.031           0.411    
OperationGetKHopNeighbors-both-withlabel-5                          3.910            0.349         1.985           4.620    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5           0.082            0.056         0.033           0.276    
OperationGetManyVertexProperties-name                               3.518            0.000         3.518           3.518    
OperationGetManyVertexProperties-age                                7.265            0.000         7.265           7.265    
OperationGetManyEdgeProperties-time                                 0.176            0.000         0.176           0.176    
OperationGetManyVertexPropertySets                                  5.016            0.000         5.016           5.016    
OperationGetManyEdgePropertySets                                    0.219            0.000         0.219           0.219    
OperationGetVerticesUsingKeyIndex-_original_id                      0.615            0.749         0.338           7.986    
OperationGetVerticesUsingKeyIndex-name                              0.526            0.105         0.346           0.688    
OperationGetVerticesUsingKeyIndex-age                               1.975            0.623         0.854           4.075    
OperationGetEdgesUsingKeyIndex-time                                 0.897            1.625         0.436          16.893    
OperationShutdownGraph                                            313.603            0.000       313.603         313.603    
