operation                           dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                        460.436            0.000       460.436         460.436    
OperationDoGC                            1390.241            4.558      1386.454        1404.604    
OperationGetKHopNeighbors-out-1             0.125            0.018         0.090           0.183    
OperationGetKHopNeighbors-out-2             0.257            0.056         0.071           0.359    
OperationGetKHopNeighbors-out-3             0.413            0.135         0.108           0.760    
OperationGetKHopNeighbors-out-4             0.778            0.344         0.087           1.782    
OperationGetKHopNeighbors-out-5             1.626            0.817         0.299           4.111    
OperationGetKHopNeighbors-in-1              0.121            0.017         0.086           0.170    
OperationGetKHopNeighbors-in-2              0.286            0.104         0.147           0.683    
OperationGetKHopNeighbors-in-3              0.492            0.600         0.162           4.561    
OperationGetKHopNeighbors-in-4              0.695            0.460         0.217           2.831    
OperationGetKHopNeighbors-in-5              1.368            1.348         0.265           9.133    
OperationGetKHopNeighbors-both-1            0.131            0.020         0.099           0.181    
OperationGetKHopNeighbors-both-2            0.464            0.237         0.173           1.486    
OperationGetKHopNeighbors-both-3            1.713            2.373         0.277          16.026    
OperationGetKHopNeighbors-both-4            6.262            5.438         0.320          28.906    
OperationGetKHopNeighbors-both-5           25.462           29.438         0.751         150.706    
OperationLocalClusteringCoefficient         0.484            0.180         0.213           1.116    
OperationShutdownGraph                     88.398            0.000        88.398          88.398    
