operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                    319.939            0.000       319.939         319.939    
OperationDoGC                                        2002.828          176.280      1519.235        2376.913    
OperationGetManyVertices                                0.099            0.000         0.099           0.099    
OperationGetManyEdges                                   0.152            0.000         0.152           0.152    
OperationGetFirstNeighbor-out                           0.063            0.021         0.032           0.147    
OperationGetAllNeighbors-out                            0.074            0.019         0.037           0.137    
OperationGetFirstNeighbor-in                            0.067            0.019         0.028           0.127    
OperationGetAllNeighbors-in                             0.071            0.025         0.034           0.164    
OperationGetFirstNeighbor-both                          0.061            0.019         0.029           0.136    
OperationGetAllNeighbors-both                           0.071            0.022         0.035           0.170    
OperationGetKHopNeighbors-out-1                         0.058            0.023         0.027           0.157    
OperationGetKHopNeighbors-out-2                         0.229            0.185         0.040           1.392    
OperationGetKHopNeighbors-out-3                         0.493            0.287         0.039           1.818    
OperationGetKHopNeighbors-out-4                         0.749            0.514         0.037           2.169    
OperationGetKHopNeighbors-out-5                         1.399            0.958         0.038           4.354    
OperationGetKHopNeighbors-in-1                          0.048            0.015         0.027           0.103    
OperationGetKHopNeighbors-in-2                          0.124            0.078         0.038           0.468    
OperationGetKHopNeighbors-in-3                          0.239            0.145         0.049           0.982    
OperationGetKHopNeighbors-in-4                          0.552            0.880         0.081           7.618    
OperationGetKHopNeighbors-in-5                          0.813            1.427         0.084           8.586    
OperationGetKHopNeighbors-both-1                        0.046            0.017         0.020           0.102    
OperationGetKHopNeighbors-both-2                        0.157            0.106         0.035           0.856    
OperationGetKHopNeighbors-both-3                        0.930            0.902         0.073           5.064    
OperationGetKHopNeighbors-both-4                        3.856            5.079         0.169          29.229    
OperationGetKHopNeighbors-both-5                       12.332           15.579         0.206         122.120    
OperationGetManyVertexProperties-title                 37.844            0.000        37.844          37.844    
OperationGetManyVertexProperties-salesrank             30.731            0.000        30.731          30.731    
OperationGetManyVertexProperties-group                 17.227            0.000        17.227          17.227    
OperationGetManyVertexPropertySets                     15.001            0.000        15.001          15.001    
OperationGetVerticesUsingKeyIndex-_original_id          1.036            4.597         0.307          46.730    
OperationGetVerticesUsingKeyIndex-title                 0.760            0.181         0.364           1.212    
OperationGetVerticesUsingKeyIndex-salesrank             0.547            0.123         0.364           0.771    
OperationGetVerticesUsingKeyIndex-group               226.487          255.555        38.496         661.090    
OperationGetShortestPath                             1450.203          822.087        14.806        2684.749    
OperationLocalClusteringCoefficient                     0.123            0.097         0.038           0.816    
OperationShutdownGraph                                547.159            0.000       547.159         547.159    
