"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","3.24742254E8","0.0","3.24742254E8","3.24742254E8"
"OperationDoGC","2.0944287100555556E9","1.8749176848821026E8","1.532626251E9","2.211808604E9"
"OperationGetManyVertices","66723.18","43172.57587366775","38659.0","474705.0"
"OperationGetManyEdges","202016.03","68962.7259411133","132435.0","768916.0"
"OperationGetFirstNeighbor-out","264196.29","105830.62858362838","162991.0","818584.0"
"OperationGetAllNeighbors-out","311368.52","86830.13269475983","168456.0","639948.0"
"OperationGetNeighborEdgeConditional-out","4738605.52","5583113.305513298","201549.0","2.011049E7"
"OperationGetFirstNeighbor-in","212577.71","66684.28664435049","123580.0","584468.0"
"OperationGetAllNeighbors-in","287740.6","83983.68525326812","132671.0","963316.0"
"OperationGetNeighborEdgeConditional-in","2.265042713E7","1.934396820468307E7","275437.0","1.28636507E8"
"OperationGetFirstNeighbor-both","179686.26","48570.29109396401","64643.0","482314.0"
"OperationGetAllNeighbors-both","285303.07","73327.8042332177","149757.0","598754.0"
"OperationGetNeighborEdgeConditional-both","2.599929115E7","1.5230161039811451E7","417941.0","8.1611415E7"
"OperationGetManyVertexProperties-name","5.464860097E7","5.549607429618471E7","926680.0","2.15298989E8"
"OperationGetManyVertexProperties-age","3288264.87","7517070.777227976","545726.0","6.1053174E7"
"OperationGetManyEdgeProperties-time","2.4751851495E8","4.21340339043123E7","1.45549316E8","3.56941221E8"
"OperationGetManyVertexPropertySets","2092758.36","4138236.0818728725","472798.0","2.4453781E7"
"OperationGetManyEdgePropertySets","8.680121038E7","6.880832764174862E7","954502.0","3.0931652E8"
"OperationShutdownGraph","1.870848473E9","0.0","1.870848473E9","1.870848473E9"
