operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                               2260.336            0.000      2260.336        2260.336    
OperationDoGC                                                    1415.724           10.449      1408.258        1488.725    
OperationGetManyVertices                                            0.244            0.000         0.244           0.244    
OperationGetManyEdges                                               0.301            0.000         0.301           0.301    
OperationGetFirstNeighbor-out                                       0.130            0.024         0.079           0.220    
OperationGetAllNeighbors-out                                        0.160            0.030         0.090           0.250    
OperationGetNeighborEdgeConditional-out                             0.244            0.118         0.084           0.655    
OperationGetFirstNeighbor-in                                        0.132            0.021         0.092           0.216    
OperationGetAllNeighbors-in                                         0.182            0.028         0.134           0.246    
OperationGetNeighborEdgeConditional-in                              0.275            0.048         0.179           0.387    
OperationGetFirstNeighbor-both                                      0.184            0.029         0.126           0.267    
OperationGetAllNeighbors-both                                       0.240            0.045         0.169           0.347    
OperationGetNeighborEdgeConditional-both                            0.453            0.148         0.256           0.947    
OperationGetFirstNeighbor-out-withlabel                             0.112            0.020         0.074           0.182    
OperationGetAllNeighbors-out-withlabel                              0.120            0.023         0.075           0.175    
OperationGetNeighborEdgeConditional-out-withlabel                   0.203            0.100         0.083           0.722    
OperationGetFirstNeighbor-in-withlabel                              0.141            0.021         0.101           0.202    
OperationGetAllNeighbors-in-withlabel                               0.129            0.019         0.103           0.188    
OperationGetNeighborEdgeConditional-in-withlabel                    0.195            0.030         0.138           0.280    
OperationGetFirstNeighbor-both-withlabel                            0.171            0.029         0.101           0.249    
OperationGetAllNeighbors-both-withlabel                             0.182            0.033         0.101           0.273    
OperationGetNeighborEdgeConditional-both-withlabel                  0.335            0.111         0.215           0.877    
OperationGetKHopNeighbors-out-1                                     0.175            0.043         0.087           0.275    
OperationGetKHopNeighborsEdgeConditional-out-1                      0.255            0.136         0.073           0.799    
OperationGetKHopNeighbors-out-2                                     0.427            0.417         0.089           2.409    
OperationGetKHopNeighborsEdgeConditional-out-2                      0.332            0.183         0.070           0.897    
OperationGetKHopNeighbors-out-3                                     1.194            2.434         0.089          18.176    
OperationGetKHopNeighborsEdgeConditional-out-3                      0.383            0.219         0.072           1.101    
OperationGetKHopNeighbors-out-4                                     2.257            5.749         0.080          34.122    
OperationGetKHopNeighborsEdgeConditional-out-4                      0.362            0.255         0.072           1.092    
OperationGetKHopNeighbors-out-5                                    18.304           80.086         0.079         697.711    
OperationGetKHopNeighborsEdgeConditional-out-5                      0.408            0.264         0.084           1.463    
OperationGetKHopNeighbors-in-1                                      0.172            0.030         0.096           0.243    
OperationGetKHopNeighborsEdgeConditional-in-1                       0.268            0.027         0.173           0.343    
OperationGetKHopNeighbors-in-2                                      0.564            0.154         0.335           0.826    
OperationGetKHopNeighborsEdgeConditional-in-2                       0.371            0.078         0.199           0.512    
OperationGetKHopNeighbors-in-3                                      2.067            1.620         0.851          17.314    
OperationGetKHopNeighborsEdgeConditional-in-3                       0.521            0.115         0.226           0.720    
OperationGetKHopNeighbors-in-4                                      4.270            1.208         1.626           6.671    
OperationGetKHopNeighborsEdgeConditional-in-4                       0.539            0.154         0.252           0.969    
OperationGetKHopNeighbors-in-5                                     12.080            3.079         2.347          31.022    
OperationGetKHopNeighborsEdgeConditional-in-5                       0.620            0.168         0.197           0.947    
OperationGetKHopNeighbors-both-1                                    0.223            0.037         0.143           0.329    
OperationGetKHopNeighborsEdgeConditional-both-1                     0.417            0.098         0.230           0.698    
OperationGetKHopNeighbors-both-2                                    1.129            0.584         0.465           4.296    
OperationGetKHopNeighborsEdgeConditional-both-2                     0.647            0.167         0.351           1.209    
OperationGetKHopNeighbors-both-3                                   10.578            8.880         2.333          69.937    
OperationGetKHopNeighborsEdgeConditional-both-3                     0.803            0.245         0.320           1.378    
OperationGetKHopNeighbors-both-4                                   87.882           69.615        18.088         324.082    
OperationGetKHopNeighborsEdgeConditional-both-4                     1.222            1.824         0.335          14.746    
OperationGetKHopNeighbors-both-5                                 1785.851         1674.509       319.617       10618.890    
OperationGetKHopNeighborsEdgeConditional-both-5                     8.000           10.464         0.399          74.690    
OperationGetKHopNeighbors-out-withlabel-1                           0.106            0.018         0.081           0.165    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1            1.883            4.478         0.067          17.412    
OperationGetKHopNeighbors-out-withlabel-2                           0.144            0.048         0.081           0.284    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2            2.410            5.341         0.065          25.769    
OperationGetKHopNeighbors-out-withlabel-3                           0.244            0.308         0.080           2.038    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3            1.679            3.665         0.067          15.344    
OperationGetKHopNeighbors-out-withlabel-4                           0.317            0.492         0.076           3.703    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4            2.296            4.434         0.061          19.639    
OperationGetKHopNeighbors-out-withlabel-5                           0.294            0.593         0.077           4.761    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5            1.719            4.575         0.062          28.392    
OperationGetKHopNeighbors-in-withlabel-1                            0.108            0.018         0.082           0.164    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1             1.560            4.998         0.064          27.973    
OperationGetKHopNeighbors-in-withlabel-2                            0.153            0.035         0.097           0.248    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2             1.710            4.455         0.103          22.110    
OperationGetKHopNeighbors-in-withlabel-3                            0.221            0.061         0.116           0.479    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3             1.875            5.390         0.085          34.943    
OperationGetKHopNeighbors-in-withlabel-4                            0.429            0.182         0.094           0.887    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4             1.846            5.635         0.109          42.031    
OperationGetKHopNeighbors-in-withlabel-5                            0.706            0.379         0.105           1.917    
