operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               2368.970            0.000      2368.970        2368.970    
OperationDoGC                                    1388.857            6.240      1380.928        1410.804    
OperationGetKHopNeighbors-out-1                     0.159            0.030         0.100           0.261    
OperationGetKHopNeighbors-out-2                     0.415            0.365         0.075           1.955    
OperationGetKHopNeighbors-out-3                     1.599            3.471         0.079          28.010    
OperationGetKHopNeighbors-out-4                     1.419            2.353         0.072          11.459    
OperationGetKHopNeighbors-out-5                     4.104           13.233         0.072          87.026    
OperationGetKHopNeighbors-in-1                      0.166            0.031         0.116           0.262    
OperationGetKHopNeighbors-in-2                      0.676            0.137         0.380           0.841    
OperationGetKHopNeighbors-in-3                      1.961            0.403         0.937           2.850    
OperationGetKHopNeighbors-in-4                      4.676            0.980         2.087           7.707    
OperationGetKHopNeighbors-in-5                     10.217            1.714         7.412          15.828    
OperationGetKHopNeighbors-both-1                    0.195            0.036         0.104           0.365    
OperationGetKHopNeighbors-both-2                    1.458            0.792         0.623           7.158    
OperationGetKHopNeighbors-both-3                   12.406           10.820         2.200          91.507    
OperationGetKHopNeighbors-both-4                  139.008          102.022        24.834         515.908    
OperationGetKHopNeighbors-both-5                 1937.950         1637.165       375.938        9321.061    
OperationGetKHopNeighbors-out-withlabel-1           0.079            0.012         0.061           0.152    
OperationGetKHopNeighbors-out-withlabel-2           0.165            0.119         0.062           0.858    
OperationGetKHopNeighbors-out-withlabel-3           0.211            0.377         0.063           3.624    
OperationGetKHopNeighbors-out-withlabel-4           0.748            2.731         0.067          16.314    
OperationGetKHopNeighbors-out-withlabel-5           0.549            1.916         0.064          17.148    
OperationGetKHopNeighbors-in-withlabel-1            0.088            0.011         0.066           0.132    
OperationGetKHopNeighbors-in-withlabel-2            0.181            0.049         0.065           0.286    
OperationGetKHopNeighbors-in-withlabel-3            0.295            0.111         0.065           0.589    
OperationGetKHopNeighbors-in-withlabel-4            0.506            0.207         0.065           1.011    
OperationGetKHopNeighbors-in-withlabel-5            0.840            0.413         0.083           2.175    
OperationGetKHopNeighbors-both-withlabel-1          0.130            0.025         0.081           0.209    
OperationGetKHopNeighbors-both-withlabel-2          0.450            0.235         0.140           2.082    
OperationGetKHopNeighbors-both-withlabel-3          3.117            3.166         0.354          17.789    
OperationGetKHopNeighbors-both-withlabel-4         14.758           14.989         0.093         109.704    
OperationGetKHopNeighbors-both-withlabel-5         66.077           65.916         0.086         455.464    
OperationLocalClusteringCoefficient                 1.506            0.994         0.481           7.809    
OperationShutdownGraph                            107.778            0.000       107.778         107.778    
