operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               2247.554            0.000      2247.554        2247.554    
OperationDoGC                                    1387.748            5.859      1379.325        1415.964    
OperationGetKHopNeighbors-out-1                     0.224            0.062         0.129           0.464    
OperationGetKHopNeighbors-out-2                     0.580            1.006         0.097           6.810    
OperationGetKHopNeighbors-out-3                     1.809            6.057         0.102          56.053    
OperationGetKHopNeighbors-out-4                    10.333           89.461         0.098         900.042    
OperationGetKHopNeighbors-out-5                     2.962           10.988         0.094         103.585    
OperationGetKHopNeighbors-in-1                      0.250            0.041         0.153           0.322    
OperationGetKHopNeighbors-in-2                      0.769            0.131         0.383           0.932    
OperationGetKHopNeighbors-in-3                      2.175            0.550         0.505           3.310    
OperationGetKHopNeighbors-in-4                      6.093            1.697         1.777          10.178    
OperationGetKHopNeighbors-in-5                     13.513            3.391         1.614          24.250    
OperationGetKHopNeighbors-both-1                    0.295            0.055         0.165           0.469    
OperationGetKHopNeighbors-both-2                    1.777            1.324         0.597          10.155    
OperationGetKHopNeighbors-both-3                   19.493           17.852         5.568         116.164    
OperationGetKHopNeighbors-both-4                  198.625          173.602        32.192         991.957    
OperationGetKHopNeighbors-both-5                 1902.083         1188.071       401.828        7026.194    
OperationGetKHopNeighbors-out-withlabel-1           0.140            0.029         0.100           0.235    
OperationGetKHopNeighbors-out-withlabel-2           0.219            0.138         0.104           0.981    
OperationGetKHopNeighbors-out-withlabel-3           0.373            0.549         0.093           3.500    
OperationGetKHopNeighbors-out-withlabel-4           0.387            0.763         0.095           5.829    
OperationGetKHopNeighbors-out-withlabel-5           0.499            1.735         0.096          16.896    
OperationGetKHopNeighbors-in-withlabel-1            0.153            0.029         0.094           0.239    
OperationGetKHopNeighbors-in-withlabel-2            0.232            0.047         0.139           0.337    
OperationGetKHopNeighbors-in-withlabel-3            0.347            0.124         0.099           0.684    
OperationGetKHopNeighbors-in-withlabel-4            0.649            0.276         0.098           1.209    
OperationGetKHopNeighbors-in-withlabel-5            1.307            0.734         0.127           3.821    
OperationGetKHopNeighbors-both-withlabel-1          0.196            0.043         0.104           0.334    
OperationGetKHopNeighbors-both-withlabel-2          0.440            0.361         0.162           3.172    
OperationGetKHopNeighbors-both-withlabel-3          3.667            4.127         0.106          22.218    
OperationGetKHopNeighbors-both-withlabel-4         20.531           27.314         0.106         188.646    
OperationGetKHopNeighbors-both-withlabel-5        208.201          371.589         3.127        3057.624    
OperationShutdownGraph                            290.082            0.000       290.082         290.082    
