operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                               2249.087            0.000      2249.087        2249.087    
OperationDoGC                                    1412.351           39.450      1398.152        1574.371    
OperationGetManyVertices                            0.187            0.051         0.122           0.373    
OperationGetManyEdges                               0.244            0.040         0.156           0.300    
OperationGetFirstNeighbor-out                       0.132            0.025         0.086           0.214    
OperationGetAllNeighbors-out                        0.146            0.029         0.080           0.221    
OperationGetNeighborEdgeConditional-out             0.236            0.123         0.101           0.637    
OperationGetFirstNeighbor-in                        0.117            0.021         0.094           0.210    
OperationGetAllNeighbors-in                         0.168            0.023         0.117           0.230    
OperationGetNeighborEdgeConditional-in              0.225            0.043         0.163           0.342    
OperationGetFirstNeighbor-both                      0.160            0.030         0.120           0.249    
OperationGetAllNeighbors-both                       0.233            0.038         0.159           0.338    
OperationGetNeighborEdgeConditional-both            0.376            0.116         0.198           0.707    
OperationGetManyVertexProperties-name               2.283            0.559         1.193           4.328    
OperationGetManyVertexProperties-age                1.992            0.458         0.968           3.652    
OperationGetManyEdgeProperties-time                 2.141            0.680         1.138           3.525    
OperationGetManyVertexPropertySets                  3.538            0.064         3.332           3.887    
OperationGetManyEdgePropertySets                    1.983            0.442         1.076           2.840    
OperationShutdownGraph                            164.247            0.000       164.247         164.247    
