operation                                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                              24363.361            0.000     24363.361       24363.361    
OperationDoGC                                                    1409.677            9.349      1400.174        1480.204    
OperationGetManyVertices                                            0.364            0.000         0.364           0.364    
OperationGetManyEdges                                               0.490            0.000         0.490           0.490    
OperationGetFirstNeighbor-out                                      17.915           10.730         0.106          48.756    
OperationGetAllNeighbors-out                                       30.164           18.349         0.123          89.826    
OperationGetNeighborEdgeConditional-out                            85.876           98.849         0.148         748.337    
OperationGetFirstNeighbor-in                                       12.149            6.317         0.150          29.711    
OperationGetAllNeighbors-in                                        25.614           10.880         0.223          74.089    
OperationGetNeighborEdgeConditional-in                             38.624           15.206         0.334          79.086    
OperationGetFirstNeighbor-both                                     20.809           12.663         0.179          64.313    
OperationGetAllNeighbors-both                                      48.257           21.119         0.312          85.700    
OperationGetNeighborEdgeConditional-both                          108.968           80.963         6.096         431.012    
OperationGetFirstNeighbor-out-withlabel                            15.140           10.518         0.100          59.859    
OperationGetAllNeighbors-out-withlabel                             12.895            9.693         0.083          66.048    
OperationGetNeighborEdgeConditional-out-withlabel                  36.997           48.573         0.103         245.921    
OperationGetFirstNeighbor-in-withlabel                             13.188            9.513         0.144          83.056    
OperationGetAllNeighbors-in-withlabel                              11.973            8.185         0.119          72.643    
OperationGetNeighborEdgeConditional-in-withlabel                   18.722           10.002         0.255          77.311    
OperationGetFirstNeighbor-both-withlabel                           24.988           11.244         6.106          76.930    
OperationGetAllNeighbors-both-withlabel                            23.897           12.395         0.187          88.404    
OperationGetNeighborEdgeConditional-both-withlabel                 45.619           34.174         0.262         169.154    
OperationGetKHopNeighbors-out-1                                    25.488           14.406         0.124          69.451    
OperationGetKHopNeighborsEdgeConditional-out-1                     53.271           61.113         0.100         313.494    
OperationGetKHopNeighbors-out-2                                   130.096          194.814         0.171        1052.897    
OperationGetKHopNeighborsEdgeConditional-out-2                    103.655           93.442         0.140         396.631    
OperationGetKHopNeighbors-out-3                                   478.359         1314.451         0.123       10408.876    
OperationGetKHopNeighborsEdgeConditional-out-3                     84.680           92.065         0.099         402.614    
OperationGetKHopNeighbors-out-4                                  1631.116         4981.127         0.096       34061.633    
OperationGetKHopNeighborsEdgeConditional-out-4                    102.168          124.187         0.100         788.341    
OperationGetKHopNeighbors-out-5                                  7429.126        31608.994         0.098      262132.952    
OperationGetKHopNeighborsEdgeConditional-out-5                     88.295           85.681         0.101         417.534    
OperationGetKHopNeighbors-in-1                                     22.891           12.594         4.584         129.830    
OperationGetKHopNeighborsEdgeConditional-in-1                      30.701           10.541         6.448          81.402    
OperationGetKHopNeighbors-in-2                                    127.223           18.445        83.992         170.807    
OperationGetKHopNeighborsEdgeConditional-in-2                      58.428           16.699        20.734         156.515    
OperationGetKHopNeighbors-in-3                                    487.997          109.951       159.935         731.097    
OperationGetKHopNeighborsEdgeConditional-in-3                      78.036           17.524        13.315         134.188    
OperationGetKHopNeighbors-in-4                                    974.338          496.690         2.878        2226.015    
OperationGetKHopNeighborsEdgeConditional-in-4                      80.809           28.123        21.107         171.637    
OperationGetKHopNeighbors-in-5                                   1096.880          878.635         8.309        3543.451    
OperationGetKHopNeighborsEdgeConditional-in-5                      81.008           34.490         7.224         180.441    
OperationGetKHopNeighbors-both-1                                   22.635            8.763         0.270          46.531    
OperationGetKHopNeighborsEdgeConditional-both-1                    77.378           47.921        11.822         331.461    
OperationGetKHopNeighbors-both-2                                  257.639          193.156        83.378        1587.997    
OperationGetKHopNeighborsEdgeConditional-both-2                   198.101          222.138        42.778        2284.278    
OperationGetKHopNeighbors-both-3                                 3518.981         3602.557       824.823       27713.515    
OperationGetKHopNeighborsEdgeConditional-both-3                   235.504          139.124        52.900        1235.129    
OperationGetKHopNeighbors-both-4                                60114.112        56547.634     13192.117      353187.105    
OperationGetKHopNeighborsEdgeConditional-both-4                   378.126          234.743        95.406        1489.368    
OperationGetKHopNeighbors-both-5                              1728400.226      2623073.403    244931.551    18152745.411    
OperationGetKHopNeighborsEdgeConditional-both-5                   492.328          485.073        59.916        3371.200    
OperationGetKHopNeighbors-out-withlabel-1                           5.874            6.088         0.104          23.138    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-1           31.713           28.573         0.086         123.184    
OperationGetKHopNeighbors-out-withlabel-2                          24.490           41.937         0.106         380.747    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-2           42.074           46.489         0.082         284.322    
OperationGetKHopNeighbors-out-withlabel-3                          41.894           73.897         0.101         559.100    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-3           49.777           54.656         0.077         267.893    
OperationGetKHopNeighbors-out-withlabel-4                          35.653          119.133         0.088        1133.481    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-4           52.720           54.214         0.078         259.194    
OperationGetKHopNeighbors-out-withlabel-5                        2325.274        20625.249         0.088      207124.283    
OperationGetKHopNeighborsEdgeConditional-out-withlabel-5           55.309           53.362         0.083         235.756    
OperationGetKHopNeighbors-in-withlabel-1                            6.272            4.461         0.110          19.467    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-1            14.704            7.602         0.115          40.237    
OperationGetKHopNeighbors-in-withlabel-2                           19.460           11.702         0.125          49.614    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-2            26.947           15.218         0.138         142.947    
OperationGetKHopNeighbors-in-withlabel-3                           36.352           29.169         0.203         157.033    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-3            34.725           14.449         5.827         103.852    
OperationGetKHopNeighbors-in-withlabel-4                           55.435           41.869         0.113         182.542    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-4            39.711           17.368         0.355         146.800    
OperationGetKHopNeighbors-in-withlabel-5                           79.690           69.839         0.119         287.789    
OperationGetKHopNeighborsEdgeConditional-in-withlabel-5            41.289           18.562         0.112          94.807    
OperationGetKHopNeighbors-both-withlabel-1                         11.173            9.958         0.158          82.711    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-1          36.540           22.014         5.779         111.018    
OperationGetKHopNeighbors-both-withlabel-2                         50.892           41.874         0.149         354.508    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-2          77.356           37.733         6.125         192.781    
OperationGetKHopNeighbors-both-withlabel-3                        341.558          331.456         5.684        1807.010    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-3          95.557           57.754        14.361         320.815    
OperationGetKHopNeighbors-both-withlabel-4                       2527.402         3474.599         0.147       25873.851    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-4          83.145           48.078        13.175         272.538    
OperationGetKHopNeighbors-both-withlabel-5                      10473.042        18006.420         0.118      151389.594    
OperationGetKHopNeighborsEdgeConditional-both-withlabel-5         181.127          151.813         7.586         835.105    
OperationGetManyVertexProperties-name                            1189.992            0.000      1189.992        1189.992    
OperationGetManyVertexProperties-age                              867.762            0.000       867.762         867.762    
OperationGetManyEdgeProperties-time                              1483.315            0.000      1483.315        1483.315    
OperationGetManyVertexPropertySets                               1702.431            0.000      1702.431        1702.431    
OperationGetManyEdgePropertySets                                 1127.363            0.000      1127.363        1127.363    
OperationGetVerticesUsingKeyIndex-_original_id                     11.268            7.044         0.557          62.040    
OperationGetVerticesUsingKeyIndex-name                             21.187           14.242         0.542          96.825    
OperationGetVerticesUsingKeyIndex-age                             351.688          331.065        19.481         967.226    
OperationGetEdgesUsingKeyIndex-time                              4156.773         1411.642      2040.448        7274.631    
OperationShutdownGraph                                            449.182            0.000       449.182         449.182    
