dbname	dbinstance	edgelabels	OperationAddEdge	OperationAddVertex	OperationGetFirstNeighbor-both	OperationGetFirstNeighbor-in	OperationGetFirstNeighbor-out	OperationGetKHopNeighbors-both-1	OperationGetKHopNeighbors-both-2	OperationGetKHopNeighbors-both-3	OperationGetKHopNeighbors-both-4	OperationGetKHopNeighbors-both-5	OperationGetEdgeProperty-time	OperationGetEdge	OperationGetVertexProperty-age	OperationGetVertexProperty-name	OperationGetVertex	OperationGetShortestPath	OperationGetVerticesUsingKeyIndex-_original_id	OperationLocalClusteringCoefficient	OperationSetEdgeProperty	OperationSetVertexProperty	BulkIngest	BulkIngestShutdown	IncIngest	IncIngestShutdown	IndexCreate	IndexShutdown
DEX	amazon0302	none	0.0320952599	0.008411240799999999	0.15142326	0.12574493	0.1304735	0.13117091	0.46363433000000004	1.7128942600000001	6.26199141	25.46243884	none	0.0022772815999999997	none	none	0.0015934348	2182.5932249899997	0.14681504999999997	0.48396494	0.0328999622	0.025532988399999998	18685.775666	1655.705006	2098.32361	7075.387351	2936.0770620000003	2263.27955
DEX	amazon0312	none	0.0418655338	0.0084901908	0.16288529999999998	0.13955473000000002	0.12897738	0.12684645	1.02003476	8.45376438	47.22042832	222.4803026	none	0.0024791034	none	none	0.0018217957	4581.141896470001	0.15510717999999998	1.32481643	0.0308130193	0.0309258024	43139.225617	3338.263036	4713.038088	13264.802644	4833.530457	3370.660573
DEX	b1k	1el	0.020339066599999997	0.0057960525	0.1028129	0.09276011	0.09156212	0.11439408999999999	0.3794229	1.9588162900000001	8.517735609999999	16.20149116	0.014017873100000001	0.0011336896	0.011735101500000001	0.019194370500000002	0.0010019015	8.735879480000001	0.12941158	0.40196719000000003	0.0250989333	0.019619606100000003	65.353071	104.841409	18.148283	294.749392	23.105522	206.205435
DEX	b1k	2el	0.0159454638	0.0071217603	0.10596976	0.08430195	0.08581542	0.13013881	0.59763612	4.17775754	19.29413194	21.416737949999998	0.0148057654	9.849547E-4	0.0119152016	0.0165937495	0.0010430063	12.598978630000001	0.13283117000000003	0.74190197	0.0190881042	0.0245381129	70.3573	250.821966	21.871766	303.741512	18.948293	219.139449
DEX	b1m	1el	0.0626988048	0.0065456837999999995	0.18537051999999998	0.1199764	0.12567353	0.14602419	0.94296862	11.364318050000001	73.32524882999999	757.6109321900001	0.0258036549	0.0025353759	0.0157305337	0.0222330599	0.0021070207	14104.5434085	0.17021102	0.87624237	0.040499309399999996	0.0268149958	98930.982636	4902.561485	13039.366249	23204.194111	13064.491614	2068.175951
DEX	b1m	2el	0.0594882122	0.0057051079	0.15952842	0.11727602000000001	0.13161351999999998	0.19451438000000001	1.45804331	12.40569323	139.00809119	1937.95031537	0.0214099307	0.0024353504	0.0199205983	0.0228261103	0.0018684719000000001	19800.89246194	3.88037022	1.5060893	0.0364804632	0.0318914952	93271.550977	6156.89219	12551.447978	29897.73291	11808.495362999998	2500.779994
DEX	b2m	1el	0.0704432299	0.0081399245	3.1248206	1.98865015	2.3031878	0.14159307000000002	0.94812775	11.230445269999999	93.80371697	1008.8172486799999	0.452305448	0.0033777743999999998	0.0419978945	0.0717525379	0.0020917008	35447.991221300006	2.76098752	0.82387061	0.0375368586	0.0301020082	204596.947662	10565.614926	27043.07446	56082.078117	34116.34168	5043.615543
DEX	b2m	2el	0.07105483900000001	0.0059498812	0.33448594	0.31792736	1.1722419	3.54676302	19.358449789999998	174.26204824	321.99321454	2454.00054925	0.7082516133	0.0032329322	0.048426490899999994	0.0774102934	0.0023142523000000003	40905.32266726	8.69373109	1.93927067	0.0303977123	0.0310031405	197105.608965	24499.908047	26771.90437	63329.303948	25959.973069	3995.381522
DEX	b10m	1el	22.8032154431	0.017850572199999998	29.48506373	14.73400884	20.50658609	14.176239429999999	154.45427925	1532.17085402	21529.23624515	243938.14746307998	7.3290503518	0.003539406	3.9094903280000004	4.997329409300001	0.0032371453	none	10.517699630000001	62.55483146	0.034657771500000004	0.027105428	1.483258927277E7	316675.670035	2.400587550276E7	239641.483191	214782.530937	16779.865712
DEX	b10m	2el	16.367623229499998	0.015967864	26.209086510000002	15.04122398	22.06163972	32.32718345	369.7349236	4153.31763247	55958.349245269994	1728400.2255764198	7.748792569	0.0044227486	4.0051754597	5.4803695901	0.0032454744999999997	2816719.1438965	11.267667880000001	222.96139733	0.0323575734	0.0345117454	2063949.916583	285614.639386	4617636.625847	264387.696548	250409.753318	24538.550518
DEX	k1k	1el	0.0158238237	0.0062980993	0.12508516	0.091012	0.09175409	0.09463176	0.25468446	0.6008860300000001	2.1542866099999998	6.2473858700000005	0.0104071626	0.0011428026999999999	0.013971518899999999	0.016361280000000002	0.0010642207	9.01660598	0.14634351999999998	0.3322306	0.015132441500000001	0.024395442	48.963924	175.974673	15.69208	235.283661	13.066004	138.511873
DEX	k1k	2el	0.014585762	0.0081802649	0.11647292	0.09552672	0.09226358	0.12915033	0.37944085	1.1449052800000001	4.8083421699999995	11.57750455	0.0128834879	0.0011629501	0.0132003603	0.0171932577	0.0011296035999999998	11.382249419999999	0.14337882999999998	0.41694642	0.0248760729	0.016236885899999998	44.587797	131.226849	17.63492	244.001125	15.928317	111.592308
