operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                939.182            0.000       939.182         939.182    
OperationDoGC                                    1423.114           66.022      1400.578        1660.708    
OperationGetManyVertices                            0.182            0.033         0.107           0.245    
OperationGetManyEdges                               0.248            0.014         0.156           0.295    
OperationGetFirstNeighbor-out                       0.129            0.016         0.094           0.177    
OperationGetAllNeighbors-out                        0.129            0.021         0.095           0.201    
OperationGetFirstNeighbor-in                        0.140            0.015         0.103           0.205    
OperationGetAllNeighbors-in                         0.133            0.022         0.081           0.209    
OperationGetFirstNeighbor-both                      0.163            0.030         0.113           0.285    
OperationGetAllNeighbors-both                       0.183            0.025         0.128           0.260    
OperationGetManyVertexProperties-title              2.446            0.552         1.273           3.407    
OperationGetManyVertexProperties-salesrank          1.744            0.525         0.903           2.930    
OperationGetManyVertexProperties-group              2.185            0.346         0.929           3.511    
OperationGetManyVertexPropertySets                  5.390            0.776         2.724           8.432    
OperationShutdownGraph                            100.189            0.000       100.189         100.189    
