operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                    224.823            0.000       224.823         224.823    
OperationDoGC                                        1398.237           47.847      1383.163        1674.606    
OperationGetManyVertices                                0.375            0.000         0.375           0.375    
OperationGetManyEdges                                   0.445            0.000         0.445           0.445    
OperationGetFirstNeighbor-out                           0.124            0.018         0.097           0.180    
OperationGetAllNeighbors-out                            0.132            0.019         0.080           0.208    
OperationGetFirstNeighbor-in                            0.123            0.017         0.097           0.182    
OperationGetAllNeighbors-in                             0.129            0.020         0.098           0.187    
OperationGetFirstNeighbor-both                          0.160            0.023         0.112           0.218    
OperationGetAllNeighbors-both                           0.165            0.024         0.119           0.225    
OperationGetKHopNeighbors-out-1                         0.124            0.021         0.091           0.186    
OperationGetKHopNeighbors-out-2                         0.286            0.091         0.106           0.488    
OperationGetKHopNeighbors-out-3                         0.725            0.350         0.099           1.740    
OperationGetKHopNeighbors-out-4                         1.684            1.206         0.096           5.985    
OperationGetKHopNeighbors-out-5                         4.292            3.748         0.093          17.512    
OperationGetKHopNeighbors-in-1                          0.131            0.030         0.072           0.225    
OperationGetKHopNeighbors-in-2                          0.365            0.383         0.112           2.245    
OperationGetKHopNeighbors-in-3                          0.915            1.592         0.183          13.881    
OperationGetKHopNeighbors-in-4                          1.848            2.307         0.192          13.614    
OperationGetKHopNeighbors-in-5                          3.626            4.835         0.187          28.751    
OperationGetKHopNeighbors-both-1                        0.151            0.022         0.107           0.194    
OperationGetKHopNeighbors-both-2                        0.718            0.723         0.131           6.096    
OperationGetKHopNeighbors-both-3                        7.914           11.226         0.326          68.117    
OperationGetKHopNeighbors-both-4                       47.420           69.178         0.794         447.782    
OperationGetKHopNeighbors-both-5                      327.956          463.244         1.262        3444.520    
OperationGetManyVertexProperties-title                  5.035            0.000         5.035           5.035    
OperationGetManyVertexProperties-salesrank              4.232            0.000         4.232           4.232    
OperationGetManyVertexProperties-group                  4.765            0.000         4.765           4.765    
OperationGetManyVertexPropertySets                      9.867            0.000         9.867           9.867    
OperationGetVerticesUsingKeyIndex-_original_id          0.155            0.028         0.110           0.321    
OperationGetVerticesUsingKeyIndex-title                 0.252            0.046         0.169           0.351    
OperationGetVerticesUsingKeyIndex-salesrank             0.168            0.028         0.112           0.248    
OperationGetVerticesUsingKeyIndex-group                 8.236            7.850         1.112          20.486    
OperationGetShortestPath                             4581.142         2475.735        66.042        8364.032    
OperationLocalClusteringCoefficient                     0.758            0.550         0.179           3.700    
OperationShutdownGraph                                 84.412            0.000        84.412          84.412    
