operation                                   dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                 89.622            0.000        89.622          89.622    
OperationDoGC                                    1388.369            4.386      1382.500        1406.970    
OperationGetKHopNeighbors-out-1                     0.084            0.013         0.061           0.136    
OperationGetKHopNeighbors-out-2                     0.139            0.034         0.066           0.217    
OperationGetKHopNeighbors-out-3                     0.201            0.068         0.077           0.348    
OperationGetKHopNeighbors-out-4                     0.286            0.134         0.065           0.715    
OperationGetKHopNeighbors-out-5                     0.544            0.295         0.062           1.265    
OperationGetKHopNeighbors-in-1                      0.077            0.014         0.060           0.121    
OperationGetKHopNeighbors-in-2                      0.133            0.031         0.062           0.204    
OperationGetKHopNeighbors-in-3                      0.169            0.064         0.062           0.435    
OperationGetKHopNeighbors-in-4                      0.266            0.139         0.061           0.682    
OperationGetKHopNeighbors-in-5                      0.523            0.300         0.061           1.319    
OperationGetKHopNeighbors-both-1                    0.095            0.014         0.071           0.126    
OperationGetKHopNeighbors-both-2                    0.255            0.069         0.139           0.487    
OperationGetKHopNeighbors-both-3                    0.601            0.251         0.154           1.187    
OperationGetKHopNeighbors-both-4                    2.154            0.760         0.448           4.020    
OperationGetKHopNeighbors-both-5                    6.247            1.929         1.406          10.217    
OperationGetKHopNeighbors-out-withlabel-1           0.081            0.014         0.061           0.138    
OperationGetKHopNeighbors-out-withlabel-2           0.137            0.037         0.062           0.223    
OperationGetKHopNeighbors-out-withlabel-3           0.194            0.065         0.064           0.335    
OperationGetKHopNeighbors-out-withlabel-4           0.329            0.121         0.062           0.596    
OperationGetKHopNeighbors-out-withlabel-5           0.593            0.280         0.079           1.175    
OperationGetKHopNeighbors-in-withlabel-1            0.086            0.013         0.061           0.137    
OperationGetKHopNeighbors-in-withlabel-2            0.145            0.037         0.063           0.248    
OperationGetKHopNeighbors-in-withlabel-3            0.202            0.058         0.067           0.384    
OperationGetKHopNeighbors-in-withlabel-4            0.303            0.131         0.063           0.631    
OperationGetKHopNeighbors-in-withlabel-5            0.577            0.315         0.064           1.360    
OperationGetKHopNeighbors-both-withlabel-1          0.103            0.014         0.076           0.141    
OperationGetKHopNeighbors-both-withlabel-2          0.262            0.071         0.122           0.429    
OperationGetKHopNeighbors-both-withlabel-3          0.610            0.217         0.210           1.232    
OperationGetKHopNeighbors-both-withlabel-4          2.140            0.645         0.845           3.866    
OperationGetKHopNeighbors-both-withlabel-5          5.772            1.971         1.670          10.049    
OperationLocalClusteringCoefficient                 0.332            0.072         0.178           0.515    
OperationShutdownGraph                            215.940            0.000       215.940         215.940    
