"operation","neo-mean","neo-stdev","neo-min","neo-max"
"OperationOpenGraph","3.07834324E8","0.0","3.07834324E8","3.07834324E8"
"OperationDoGC","2.1483089655E9","2.076532894938783E8","1.533039693E9","2.322595484E9"
"OperationGetManyVertices","121226.47","30017.08152984064","82367.0","278225.0"
"OperationGetManyEdges","342404.63","69280.61583396253","191637.0","625359.0"
"OperationGetFirstNeighbor-out","241824.08","93518.62779806813","129931.0","816919.0"
"OperationGetAllNeighbors-out","254196.74","123022.42991858194","120655.0","970012.0"
"OperationGetNeighborEdgeConditional-out","1.680241888E7","4.374524456706691E7","110503.0","4.20564706E8"
"OperationGetFirstNeighbor-in","209757.43","61858.562309070025","75976.0","538369.0"
"OperationGetAllNeighbors-in","227338.06","66026.4686735282","126730.0","659794.0"
"OperationGetNeighborEdgeConditional-in","3285084.45","5069840.396340003","220665.0","2.2992498E7"
"OperationGetFirstNeighbor-both","200812.11","58511.868182428596","109326.0","484167.0"
"OperationGetAllNeighbors-both","256557.75","83263.52268170919","121320.0","556056.0"
"OperationGetNeighborEdgeConditional-both","1.354900474E7","1.5050962967830976E7","215337.0","8.2231044E7"
"OperationGetManyVertexProperties-name","1.1471049731E8","5.6404816394164614E7","2.7024544E7","3.19819436E8"
"OperationGetManyVertexProperties-age","1.40206176E7","2.3598767617188282E7","526863.0","2.09674134E8"
"OperationGetManyEdgeProperties-time","1.834075133E8","3.540293799018812E7","1.01614693E8","2.6738209E8"
"OperationGetManyVertexPropertySets","4338000.58","6108465.122287561","515291.0","3.4548281E7"
"OperationGetManyEdgePropertySets","8.593814646E7","5.402217321967796E7","9960823.0","2.47235938E8"
"OperationShutdownGraph","2.442334375E9","0.0","2.442334375E9","2.442334375E9"
